Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,TP,TR,TAST,TBLKS,TSTLS,T3PS,FG%,FT%,3P%,EF%,DRTG,ORTG,VORP,BPM,EFF,Win_Shares
Gerard King,3,0,0,0,0,0,0,0,0,0,126,4.5,3.1,0.7,0.2,0.4,0.0,566,393,84,27,50,0,50.3,74.4,-,50.3,107,106,0.1,-1.7,12.1,3.0
Jim King,1,0,0,1,0,0,0,0,0,0,607,7.2,2.5,2.3,-,-,-,4377,1500,1412,-,-,-,41.8,78.2,-,-,-,-,-,-,11.8,17.7
Jimmy King,2,0,0,0,0,0,0,0,0,0,64,4.5,1.8,1.4,0.2,0.4,0.1,285,112,90,13,24,5,42.9,69.1,14.7,43.9,115,98,-0.8,-5.5,10.0,0.0
Loyd King,2,0,0,0,0,0,0,0,0,0,84,6.0,1.5,1.4,,,0.3,506,125,117,,,21,36.5,81.1,23.3,38.5,-,-,-,-,7.6,0.1
Maurice King,1,0,0,0,0,0,0,0,0,0,38,5.9,2.8,3.8,-,-,-,226,106,144,-,-,-,39.8,80.0,-,-,-,-,-,-,8.5,0.0
Reggie King,4,0,0,0,0,0,0,0,0,0,438,8.9,6.2,1.6,0.3,0.8,0.0,3898,2707,691,147,365,0,51.4,69.9,0.0,51.4,105,108,7.0,0.5,13.1,24.8
Rich King,5,0,0,0,0,0,0,0,0,0,72,1.9,1.0,0.3,0.1,0.1,0.0,135,74,21,7,5,0,39.3,66.2,0.0,39.3,108,97,-0.3,-5.8,10.2,0.2
Ron King,2,0,0,0,0,0,0,0,0,0,9,7.1,2.1,1.6,0.2,0.6,0.2,64,19,14,2,5,2,34.3,82.4,33.3,35.7,101,96,0.0,-3.0,13.1,0.2
Stacey King,4,0,0,0,0,0,0,0,0,0,438,6.4,3.3,0.9,0.5,0.4,0.0,2819,1460,387,210,173,4,47.8,70.7,23.5,47.9,108,104,-1.9,-3.0,11.9,10.9
Tom King,1,0,0,0,0,0,0,0,0,0,58,5.1,-,0.6,-,-,-,295,,32,-,-,-,23.7,63.1,-,-,-,-,-,-,-,2.6
Bob Kinney,5,0,0,0,0,0,0,0,0,0,118,9.5,-,1.5,-,-,-,1125,,177,-,-,-,35.3,60.8,-,-,-,-,-,-,-,8.4
Tarence Kinsey,2,0,0,0,0,0,0,0,0,0,109,4.7,1.3,0.5,0.0,0.6,0.2,511,147,53,1,68,23,45.3,81.7,32.4,48.1,110,104,-0.3,-2.9,12.4,1.6
Andrei Kirilenko,4,0,0,1,0,3,0,0,0,0,797,11.8,5.5,2.7,1.8,1.4,0.5,9431,4352,2169,1461,1097,367,47.4,75.4,31.0,50.2,103,112,42.4,5.0,18.7,75.4
Alex Kirk,5,0,0,0,0,0,0,0,0,0,5,0.8,0.2,0.2,0.0,0.0,0.0,4,1,1,0,0,0,25.0,100.0,-,25.0,115,112,0.0,-7.4,8.5,0.0
Walt Kirk,1,0,0,0,0,0,0,0,0,0,118,7.7,4.0,2.1,-,-,-,907,44,249,-,-,-,30.5,71.8,-,-,-,-,-,-,9.7,7.7
Wilber Kirkland,4,0,0,0,0,0,0,0,0,0,2,3.0,5.5,0.5,-,-,0.0,6,11,1,-,-,0,42.9,-,-,42.9,-,-,-,-,6.6,0.0
Jim Kissane,4,0,0,0,0,0,0,0,0,0,2,3.0,1.5,0.0,-,-,0.0,6,3,0,-,-,0,33.3,100.0,-,33.3,-,-,-,-,5.9,0.0
Doug Kistler,4,0,0,0,0,0,0,0,0,0,5,1.6,0.2,0.0,-,-,-,8,1,0,-,-,-,50.0,50.0,-,-,-,-,-,-,12.1,0.0
Curtis Kitchen,4,0,0,0,0,0,0,0,0,0,6,1.5,1.5,0.2,0.5,0.3,0.0,9,9,1,3,2,0,50.0,75.0,0.0,50.0,103,146,0.0,4.4,18.5,0.1
Greg Kite,5,0,0,0,0,0,0,0,0,0,680,2.5,3.8,0.5,0.6,0.3,0.0,1717,2607,345,414,171,1,43.8,48.6,16.7,43.8,108,92,-2.8,-3.1,6.5,5.6
Kerry Kittles,2,0,0,0,0,0,0,0,0,0,507,14.1,3.9,2.6,0.4,1.6,1.4,7165,1983,1295,221,811,694,43.9,78.0,37.8,49.3,104,110,16.9,1.9,16.0,44.8
Maxi Kleber,4,1,0,0,0,0,0,0,0,0,101,5.6,3.3,0.7,0.9,0.4,0.6,570,338,71,86,39,65,47.3,75.8,30.4,54.3,108,116,1.2,0.7,13.9,4.2
Joe Kleine,5,0,0,0,0,0,0,0,0,0,965,4.8,4.1,0.6,0.3,0.3,0.0,4666,3991,622,285,261,13,45.3,79.4,27.1,45.4,108,103,-5.9,-3.6,10.5,19.1
Linas Kleiza,4,0,0,0,0,0,0,0,0,0,409,8.7,3.6,0.8,0.2,0.4,0.9,3561,1470,321,73,159,387,43.5,76.3,33.5,50.2,109,106,-0.9,-2.4,12.4,13.6
Leo Klier,3,0,0,0,0,0,0,0,0,0,113,7.1,-,1.6,-,-,-,802,,177,-,-,-,28.0,72.8,-,-,-,-,-,-,-,2.6
Herm Klotz,1,0,0,0,0,0,0,0,0,0,11,1.4,-,0.6,-,-,-,15,,7,-,-,-,22.6,33.3,-,-,-,-,-,-,-,-0.1
Duane Klueh,1,0,0,0,0,0,0,0,0,0,113,8.2,3.0,1.5,-,-,-,924,183,173,-,-,-,36.2,71.9,-,-,-,-,-,-,-,6.0
Lonnie Kluttz,4,0,0,0,0,0,0,0,0,0,3,0.0,1.7,0.0,-,-,0.0,0,5,0,-,-,0,0.0,-,-,0.0,-,-,-,-,-8.8,-0.1
Billy Knight,2,0,0,2,0,0,0,0,0,0,821,16.9,5.3,2.3,0.2,1.0,0.1,13901,4377,1862,143,834,44,50.7,82.7,28.4,50.9,107,110,17.2,0.9,18.2,63.9
Bob Knight,2,0,0,0,0,0,0,0,0,0,2,3.5,0.5,4.0,-,-,-,7,1,8,-,-,-,42.9,100.0,-,-,-,-,-,-,11.9,0.1
Brandin Knight,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0.0,-,-,0.0,111,53,0.0,-25.5,-1.2,0.0
Brandon Knight,1,1,0,0,0,0,0,0,0,0,388,15.0,3.3,4.2,0.2,0.9,1.6,5828,1280,1630,70,354,627,41.3,81.2,35.5,47.5,111,101,2.1,-1.3,14.1,11.3
Brevin Knight,1,0,0,0,0,0,0,0,0,0,729,7.3,2.4,6.1,0.1,1.7,0.0,5342,1785,4481,87,1229,16,41.2,78.9,13.4,41.4,104,102,4.3,-1.1,14.9,32.6
Negele Knight,1,0,0,0,0,0,0,0,0,0,276,6.2,1.3,2.8,0.1,0.4,0.1,1699,351,780,30,123,25,43.6,73.0,26.3,44.4,111,101,-3.0,-4.6,11.3,4.2
Ron Knight,4,0,0,0,0,0,0,0,0,0,101,4.7,2.8,0.8,-,-,-,472,283,83,-,-,-,43.3,50.0,-,-,-,-,-,-,10.8,0.2
Toby Knight,3,0,0,0,0,0,0,0,0,0,283,12.9,5.1,1.2,0.7,0.9,0.0,3640,1444,335,185,242,0,51.9,74.0,0.0,51.9,107,108,2.8,-0.5,15.1,15.7
Travis Knight,5,0,0,0,0,0,0,0,0,0,371,3.4,3.1,0.6,0.6,0.4,0.0,1276,1160,224,220,136,15,43.8,69.6,25.9,44.4,102,100,0.8,-1.3,11.4,7.9
Lee Knorek,5,0,0,0,0,0,0,0,0,0,131,6.7,-,1.6,-,-,-,873,,206,-,-,-,30.3,63.7,-,-,-,-,-,-,-,9.3
Dick Knostman,5,0,0,0,0,0,0,0,0,0,5,2.6,3.4,1.2,-,-,-,13,17,6,-,-,-,30.0,63.6,-,-,-,-,-,-,17.4,0.2
Rod Knowles,5,0,0,0,0,0,0,0,0,0,9,1.0,1.0,0.0,-,-,0.0,9,9,0,-,-,0,28.6,33.3,-,28.6,-,-,-,-,-0.6,-0.1
Kevin Knox,4,1,0,0,0,0,0,0,0,0,28,12.0,4.2,0.9,0.4,0.5,1.6,335,117,26,10,14,46,38.1,68.1,35.9,45.4,116,97,-0.6,-5.5,10.4,-0.2
Bart Kofoed,2,0,0,0,0,0,0,0,0,0,111,1.5,0.5,1.0,0.0,0.2,0.0,162,56,108,4,19,3,38.7,61.4,18.8,39.7,110,90,-0.7,-6.0,5.7,0.0
Don Kojis,3,0,0,2,0,0,0,0,0,0,814,12.2,5.6,1.4,0.2,0.9,-,9948,4555,1112,16,89,-,44.6,72.0,-,-,100,,0.3,-1.5,14.9,35.8
Milo Komenich,4,0,0,0,0,0,0,0,0,0,64,9.9,-,1.9,-,-,-,634,,124,-,-,-,28.3,58.4,-,-,-,-,-,-,-,1.4
Howard Komives,1,0,0,0,0,0,0,0,0,0,742,10.2,2.4,4.0,0.1,0.7,-,7550,1804,2941,3,32,-,38.8,83.0,-,-,103,,-0.8,-5.8,10.7,5.0
Jon Koncak,5,0,0,0,0,0,0,0,0,0,784,4.5,4.9,1.0,1.0,0.7,0.0,3520,3856,785,791,542,19,47.0,59.7,22.6,47.3,105,105,8.0,-0.1,9.8,29.2
Tom Kondla,5,0,0,0,0,0,0,0,0,0,42,3.3,3.0,0.3,-,-,0.0,138,125,13,-,-,0,40.0,47.8,0.0,40.0,-,-,-,-,11.5,0.0
Bud Koper,2,0,0,0,0,0,0,0,0,0,54,4.6,1.1,0.8,-,-,-,247,61,43,-,-,-,44.0,83.3,-,-,-,-,-,-,10.6,1.0
Joe Kopicki,4,0,0,0,0,0,0,0,0,0,118,3.7,2.7,0.7,0.1,0.3,0.0,432,314,84,8,37,3,49.3,81.2,27.3,49.8,105,116,0.4,-0.7,14.2,3.5
Furkan Korkmaz,2,1,0,0,0,0,0,0,0,0,41,4.5,1.8,0.8,0.1,0.5,0.8,185,75,34,3,20,32,39.3,77.3,32.3,48.6,108,105,0.0,-2.3,11.0,0.7
Frank Kornet,4,0,0,0,0,0,0,0,0,0,89,1.9,1.1,0.3,0.0,0.2,0.1,171,95,30,4,19,10,36.9,59.6,26.3,39.8,110,90,-0.6,-6.0,6.2,0.0
Luke Kornet,4,1,0,0,0,0,0,0,0,0,33,5.4,2.6,1.1,0.6,0.3,1.2,177,86,35,21,9,38,39.4,76.5,35.5,51.3,110,109,0.3,0.6,14.4,0.8
Yaroslav Korolev,3,0,0,0,0,0,0,0,0,0,34,1.1,0.5,0.4,0.0,0.2,0.1,39,16,13,0,6,3,28.3,62.5,25.0,31.5,107,84,-0.2,-6.4,5.6,-0.1
Kyle Korver,4,1,0,1,0,0,0,0,0,0,1133,9.9,3.0,1.8,0.3,0.7,2.0,11188,3412,1994,385,763,2263,44.4,87.9,43.1,57.5,107,113,21.1,0.8,12.9,69.5
Tony Koski,3,0,0,0,0,0,0,0,0,0,5,1.2,1.4,0.8,-,-,0.0,6,7,4,-,-,0,28.6,100.0,-,28.6,-,-,-,-,4.9,0.0
Len Kosmalski,5,0,0,0,0,0,0,0,0,0,76,1.4,1.9,0.7,0.1,0.1,-,110,144,53,10,9,-,39.8,77.8,-,-,97,,-0.2,-3.3,10.4,0.6
Andy Kostecka,4,0,0,0,0,0,0,0,0,0,21,6.4,-,0.7,-,-,-,135,,14,-,-,-,41.8,61.4,-,-,-,-,-,-,-,1.7
Harold Kottman,5,0,0,0,0,0,0,0,0,0,53,3.1,-,0.3,-,-,-,165,,17,-,-,-,31.4,46.5,-,-,-,-,-,-,-,1.6
Kosta Koufos,5,1,0,0,0,0,0,0,0,0,664,5.8,5.1,0.5,0.8,0.4,0.0,3836,3380,344,498,288,0,53.5,58.4,0.0,53.5,105,111,3.4,-0.8,15.5,28.0
Tom Kozelko,4,0,0,0,0,0,0,0,0,0,189,2.2,1.8,0.5,0.1,0.4,-,407,346,99,16,68,-,41.9,74.5,-,-,95,,-0.6,-3.1,7.8,2.4
Ronald Kozlicki,3,0,0,0,0,0,0,0,0,0,37,2.9,1.9,0.4,-,-,0.2,109,69,14,-,-,6,33.9,61.8,20.7,36.4,-,-,-,-,7.4,-0.1
Arvid Kramer,5,0,0,0,0,0,0,0,0,0,8,2.0,1.5,0.4,0.6,0.0,0.0,16,12,3,5,0,0,31.8,100.0,-,31.8,107,77,-0.1,-8.3,6.6,-0.1
Barry Kramer,3,0,0,0,0,0,0,0,0,0,59,3.6,1.9,0.7,-,-,0.0,213,113,44,-,-,0,33.6,72.8,0.0,33.6,-,-,-,-,9.3,0.1
Joel Kramer,4,0,0,0,0,0,0,0,0,0,328,3.8,2.8,1.0,0.2,0.4,0.0,1257,916,343,62,140,0,47.9,73.7,0.0,47.9,102,106,1.2,-0.9,10.8,9.1
Steven Kramer,2,0,0,0,0,0,0,0,0,0,124,8.5,2.5,1.9,-,-,0.0,1048,310,236,-,-,1,42.9,78.0,12.5,43.0,-,-,-,-,12.5,4.3
Dan Kraus,1,0,0,0,0,0,0,0,0,0,13,1.6,-,0.5,-,-,-,21,,7,-,-,-,14.3,45.8,-,-,-,-,-,-,-,-0.3
Herb Krautblatt,1,0,0,0,0,0,0,0,0,0,10,1.3,-,0.4,-,-,-,13,,4,-,-,-,22.2,45.5,-,-,-,-,-,-,-,-0.1
Viacheslav Kravtsov,5,0,0,0,0,0,0,0,0,0,45,2.2,1.4,0.2,0.2,0.1,0.0,97,62,10,10,5,0,67.2,33.3,-,67.2,109,106,0.0,-2.2,13.6,0.4
Jim Krebs,5,0,0,0,0,0,0,0,0,0,515,8.0,6.2,0.8,-,-,-,4128,3177,429,-,-,-,40.5,75.5,-,-,-,-,-,-,11.5,12.4
Wayne Kreklow,2,0,0,0,0,0,0,0,0,0,25,1.2,0.5,0.4,0.0,0.1,0.0,30,12,9,1,2,1,23.4,70.0,25.0,24.5,106,65,-0.3,-13.0,-1.9,-0.3
Tommy Kron,2,0,0,0,0,0,0,0,0,0,224,6.0,3.0,2.7,-,-,0.2,1351,672,605,-,-,7,38.7,76.8,36.8,39.0,-,-,-,-,11.4,2.6
Tom Kropp,2,0,0,0,0,0,0,0,0,0,78,2.5,0.8,0.6,0.0,0.3,-,193,62,47,1,20,-,44.0,70.2,-,-,100,,-0.3,-4.2,9.9,0.5
Nenad Krstic,4,0,0,0,0,0,0,0,0,0,419,10.0,5.4,0.8,0.7,0.4,0.0,4210,2261,346,286,162,2,49.4,73.0,14.3,49.4,106,106,-1.5,-2.6,13.6,21.5
Larry Krystkowiak,4,0,0,0,0,0,0,0,0,0,420,8.2,4.9,1.2,0.1,0.6,0.0,3425,2051,513,62,264,5,45.7,79.5,13.9,45.8,108,106,-0.2,-2.1,12.0,15.6
Steve Kuberski,5,0,0,0,0,0,0,0,0,0,568,5.5,3.8,0.6,0.1,0.1,-,3114,2146,338,28,38,-,41.7,76.7,-,-,99,44,-2.1,-4.4,11.4,11.4
Leo Kubiak,1,0,0,0,0,0,0,0,0,0,62,11.5,-,3.2,-,-,-,710,,201,-,-,-,32.6,81.4,-,-,-,-,-,-,-,0.5
Bruce Kuczenski,4,0,0,0,0,0,0,0,0,0,15,1.9,1.5,0.5,0.1,0.1,0.0,28,23,8,1,1,0,27.0,66.7,-,27.0,109,65,-0.3,-11.6,-0.5,-0.4
Frank Kudelka,2,0,0,0,0,0,0,0,0,0,228,7.2,3.2,2.1,-,-,-,1642,521,490,-,-,-,33.1,70.8,-,-,-,-,-,-,12.8,3.7
John Kuester,1,0,0,0,0,0,0,0,0,0,135,3.3,1.0,2.3,0.0,0.6,0.0,451,141,305,3,83,0,42.7,83.3,0.0,42.7,104,99,-0.6,-3.5,11.4,2.0
Ray Kuka,4,0,0,0,0,0,0,0,0,0,52,4.9,-,0.7,-,-,-,253,,38,-,-,-,32.0,59.1,-,-,-,-,-,-,-,3.2
Toni Kukoc,4,0,0,0,0,0,0,0,0,0,846,11.6,4.2,3.7,0.3,1.0,0.9,9810,3555,3119,290,817,731,44.7,72.9,33.5,49.2,104,108,24.7,2.4,17.3,59.6
Kevin Kunnert,5,0,0,0,0,0,0,0,0,0,555,8.3,7.3,1.4,1.1,0.5,0.0,4602,4031,784,616,252,0,47.6,68.2,-,47.6,101,98,5.5,-0.2,14.6,22.0
Terry Kunze,2,0,0,0,0,0,0,0,0,0,46,5.0,1.6,1.0,-,-,0.1,230,75,47,-,-,5,33.9,57.8,45.5,34.9,-,-,-,-,5.1,0.6
Mitch Kupchak,4,0,0,0,0,0,0,0,0,0,510,10.2,5.4,0.7,0.3,0.3,0.0,5202,2730,377,176,164,0,52.3,70.4,0.0,52.3,103,107,2.0,-1.2,16.2,27.1
C.J. Kupec,3,0,0,0,0,0,0,0,0,0,147,4.1,2.1,0.7,0.0,0.2,-,606,313,108,7,31,-,42.7,77.2,-,-,104,101,-0.9,-4.2,11.5,1.8
Rodions Kurucs,3,1,0,0,0,0,0,0,0,0,19,9.2,4.1,0.6,0.3,0.6,0.8,175,77,11,6,11,15,51.2,90.9,33.3,57.1,111,117,0.0,-1.5,16.0,0.9
Rob Kurz,3,0,0,0,0,0,0,0,0,0,40,3.9,2.0,0.5,0.5,0.4,0.4,157,81,20,19,14,15,38.9,80.0,39.5,44.7,113,111,0.0,-2.3,11.8,0.7
Ibo Kutluay,2,0,0,0,0,0,0,0,0,0,5,0.0,0.2,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,-,-,0.0,115,0,0.0,-17.1,-12.9,-0.1
Kyle Kuzma,4,1,0,0,0,0,0,0,0,0,111,16.7,6.1,2.0,0.5,0.6,2.0,1859,677,218,52,70,220,46.0,72.5,35.0,53.2,110,106,0.8,-1.1,14.6,6.1
Ognjen Kuzmic,5,0,0,0,0,0,0,0,0,0,37,0.9,1.0,0.2,0.1,0.1,0.0,35,38,8,5,5,0,52.0,60.0,-,52.0,102,95,0.0,-2.5,7.6,0.2
Mindaugas Kuzminskas,3,0,0,0,0,0,0,0,0,0,69,6.2,1.8,1.0,0.2,0.4,0.8,425,126,69,11,29,54,42.6,80.9,32.1,49.9,114,107,-0.2,-2.8,12.3,1.1
Skal Labissiere,4,1,0,0,0,0,0,0,0,0,103,8.2,4.6,1.0,0.6,0.4,0.2,843,469,103,64,43,24,47.4,75.4,34.8,49.1,111,104,-0.4,-2.7,14.7,2.6
Reggie Lacefield,2,0,0,0,0,0,0,0,0,0,8,3.0,1.4,0.0,-,-,0.0,24,11,0,-,-,0,50.0,50.0,0.0,50.0,-,-,-,-,12.8,0.1
Edgar Lacey,4,0,0,0,0,0,0,0,0,0,46,5.1,3.9,0.7,-,-,0.0,234,180,30,-,-,0,44.7,56.7,0.0,44.7,-,-,-,-,10.5,0.5
Sam Lacey,5,0,0,1,0,0,0,0,0,0,1002,10.3,9.7,3.7,1.5,1.3,0.0,10303,9687,3754,1160,999,3,44.1,73.8,18.8,44.1,96,98,29.7,3.0,14.2,50.9
Bob Lackey,2,0,0,0,0,0,0,0,0,0,71,5.8,2.3,1.9,0.0,0.3,0.0,413,164,137,0,1,2,43.1,59.3,40.0,43.4,100,98,0.0,-0.2,7.3,-0.1
Fred LaCour,3,0,0,0,0,0,0,0,0,0,144,6.5,3.3,1.9,-,-,-,940,474,269,-,-,-,42.1,77.4,-,-,-,-,-,-,11.8,3.4
Wendell Ladner,3,0,0,2,0,0,0,0,0,0,300,11.6,8.3,2.1,0.1,1.6,0.4,3474,2481,621,7,140,112,38.6,71.2,25.2,40.0,95,81,0.3,-1.4,12.5,3.6
Christian Laettner,5,0,0,1,0,0,0,0,0,0,868,12.8,6.7,2.6,0.8,1.1,0.1,11121,5806,2224,675,917,92,48.0,82.0,26.1,48.6,105,108,23.2,1.6,16.9,64.9
Oliver Lafayette,2,0,0,0,0,0,0,0,0,0,1,7.0,4.0,2.0,0.0,0.0,1.0,7,4,2,0,0,1,50.0,-,50.0,58.3,109,112,0.0,-2.8,12.8,0.0
Raef LaFrentz,5,0,0,0,0,0,0,0,0,0,563,10.1,6.1,1.1,1.6,0.5,0.8,5690,3423,606,919,276,478,46.6,71.1,36.3,51.6,104,111,12.8,1.5,16.1,39.4
Tom LaGarde,5,0,0,0,0,0,0,0,0,0,312,7.6,5.1,1.5,0.4,0.3,0.0,2376,1593,456,131,94,0,46.2,64.0,0.0,46.2,106,98,-0.6,-2.4,11.5,6.5
Bill Laimbeer,5,0,0,4,0,0,0,0,1,0,1068,12.9,9.7,2.0,0.9,0.7,0.2,13790,10400,2184,965,710,202,49.8,83.7,32.6,50.7,104,115,34.4,2.0,16.1,105.6
Pete Lalich,4,0,0,0,0,0,0,0,0,0,1,0.0,-,0.0,-,-,-,0,,0,-,-,-,0.0,-,-,-,-,-,-,-,-,0.0
Bo Lamar,2,0,0,0,0,0,0,0,0,0,273,16.4,2.7,3.9,0.1,1.3,0.6,4478,739,1063,30,359,118,41.1,76.8,26.7,42.4,108,98,0.3,-1.9,14.6,5.4
Doron Lamb,2,0,0,0,0,0,0,0,0,0,100,3.5,1.0,0.8,0.0,0.2,0.5,345,95,75,1,24,50,38.1,70.0,39.4,45.8,112,95,-1.2,-5.9,6.3,0.1
Jeremy Lamb,2,1,0,0,0,0,0,0,0,0,389,9.7,3.5,1.5,0.3,0.6,1.0,3755,1343,567,128,247,373,44.5,84.1,33.9,50.3,107,109,2.7,-0.6,15.8,17.9
John Lambert,4,0,0,0,0,0,0,0,0,0,446,3.8,3.3,0.6,0.4,0.3,0.0,1688,1493,248,172,153,1,42.8,69.3,8.3,42.8,103,96,-0.8,-2.6,10.4,6.9
Jeff Lamp,3,0,0,0,0,0,0,0,0,0,291,5.1,1.5,0.9,0.0,0.4,0.0,1495,437,269,14,105,12,47.0,84.1,22.2,47.4,109,104,-1.2,-3.3,11.5,5.2
Maciej Lampe,5,0,0,0,0,0,0,0,0,0,64,3.4,2.2,0.3,0.2,0.1,0.0,215,142,22,10,8,2,40.7,67.6,25.0,41.1,107,88,-1.1,-8.7,8.5,-0.2
Jim Lampley,5,0,0,0,0,0,0,0,0,0,1,3.0,5.0,0.0,0.0,1.0,0.0,3,5,0,0,1,0,33.3,50.0,-,33.3,103,76,0.0,-12.1,8.3,0.0
Sean Lampley,3,0,0,0,0,0,0,0,0,0,45,4.5,2.1,0.7,0.1,0.2,0.0,203,94,33,4,7,0,46.3,69.1,0.0,46.3,105,106,-0.2,-3.2,13.5,1.1
Carl Landry,4,0,0,0,0,0,0,0,0,0,513,10.8,4.9,0.7,0.4,0.4,0.0,5541,2533,355,203,216,9,53.5,78.5,30.0,53.6,108,116,2.6,-1.1,17.5,35.9
Marcus Landry,3,0,0,0,0,0,0,0,0,0,18,2.4,1.1,0.0,0.1,0.1,0.5,44,19,0,2,1,9,37.2,60.0,32.1,47.7,113,90,-0.3,-11.8,7.2,-0.1
Mark Landsberger,4,0,0,0,0,0,0,0,0,0,437,5.6,6.1,0.5,0.2,0.3,0.0,2468,2681,236,70,124,0,48.1,52.2,0.0,48.1,104,102,-3.1,-3.7,12.8,12.2
Jerome Lane,4,0,0,0,0,0,0,0,0,0,218,5.3,5.8,1.5,0.2,0.6,0.0,1154,1258,322,39,138,1,44.1,37.9,6.3,44.2,108,97,0.7,-1.2,12.6,2.3
Andrew Lang,5,0,0,0,0,0,0,0,0,0,737,6.0,4.8,0.6,1.5,0.5,0.0,4431,3511,424,1099,332,5,47.0,74.4,25.0,47.1,105,105,3.5,-1.1,11.7,28.6
Antonio Lang,4,0,0,0,0,0,0,0,0,0,143,2.3,1.5,0.3,0.3,0.4,0.0,329,210,50,46,55,0,45.5,71.9,0.0,45.5,103,94,-0.3,-2.8,8.8,1.7
James Lang,5,0,0,0,0,0,0,0,0,0,11,1.0,1.0,0.2,0.3,0.0,0.0,11,11,2,3,0,0,44.4,60.0,-,44.4,112,107,0.0,-4.0,6.6,0.1
Trajan Langdon,2,0,0,0,0,0,0,0,0,0,119,5.4,1.3,1.3,0.1,0.5,0.7,647,159,152,14,56,86,41.6,91.0,39.6,49.7,108,107,0.1,-1.9,12.2,2.9
Keith Langford,2,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,25.0,-,-,25.0,104,55,0.0,-19.9,-2.4,0.0
Dan Langhi,3,0,0,0,0,0,0,0,0,0,133,3.0,1.5,0.3,0.1,0.2,0.1,393,199,39,12,30,11,39.1,61.3,28.9,40.3,107,92,-1.5,-6.8,8.8,0.3
Bob Lanier,5,0,1,8,0,0,0,0,0,0,959,20.1,10.1,3.1,1.5,1.1,0.0,19248,9698,3007,1100,777,2,51.4,76.7,15.4,51.4,98,111,41.9,5.0,21.7,117.1
Stu Lantz,2,0,0,0,0,0,0,0,0,0,547,12.4,3.3,2.9,0.1,0.7,-,6782,1820,1566,18,121,-,43.5,81.4,-,-,101,,-0.8,-2.9,13.4,32.5
Nicolas Laprovittola,1,0,0,0,0,0,0,0,0,0,18,3.3,0.6,1.6,0.1,0.2,0.6,59,10,28,1,4,10,42.6,100.0,37.0,53.2,108,99,-0.1,-4.9,8.4,0.2
York Larese,2,0,0,0,0,0,0,0,0,0,59,5.1,1.3,1.6,-,-,-,302,77,94,-,-,-,37.3,80.6,-,-,-,-,-,-,9.2,0.3
Shane Larkin,1,0,0,0,0,0,0,0,0,0,256,5.5,1.9,2.9,0.1,0.9,0.5,1399,490,737,24,243,117,42.2,77.7,33.6,46.8,109,100,-0.6,-2.5,11.4,4.4
Rusty LaRue,1,0,0,0,0,0,0,0,0,0,98,5.0,1.3,1.6,0.1,0.6,0.6,486,126,152,11,62,54,37.6,84.1,31.8,43.1,106,92,-1.0,-4.6,8.9,0.5
Rudy LaRusso,4,0,0,5,0,1,0,0,0,0,736,15.6,9.4,2.1,-,-,-,11507,6936,1556,-,-,-,43.1,76.7,-,-,-,-,-,-,15.4,61.4
John Laskowski,2,0,0,0,0,0,0,0,0,0,118,7.1,2.4,0.8,0.1,0.7,-,832,282,99,12,88,-,39.8,76.0,-,-,98,,-1.7,-5.1,10.9,2.0
Stephane Lasme,3,0,0,0,0,0,0,0,0,0,16,5.2,3.3,0.2,1.4,0.8,0.0,83,53,3,22,13,0,45.1,59.4,-,45.1,107,96,-0.1,-2.8,11.7,0.3
Dave Lattin,4,0,0,0,0,0,0,0,0,0,263,7.2,5.1,0.7,,,0.0,1904,1332,184,,,0,47.7,63.1,0.0,47.7,-,-,-,-,13.6,6.3
Priest Lauderdale,5,0,0,0,0,0,0,0,0,0,74,3.4,1.9,0.4,0.4,0.1,0.0,255,143,33,26,8,0,47.2,55.4,0.0,47.2,106,84,-0.8,-8.0,11.3,-0.8
Rich Laurel,2,0,0,0,0,0,0,0,0,0,10,2.4,1.0,0.3,0.1,0.3,-,24,10,3,1,3,-,32.3,100.0,-,-,103,83,-0.1,-7.2,7.5,0.0
Harry Laurie,1,0,0,0,0,0,0,0,0,0,9,1.4,1.7,0.9,-,-,0.0,13,15,8,-,-,0,25.0,63.6,-,25.0,-,-,-,-,0.6,0.0
Walt Lautenbach,2,0,0,0,0,0,0,0,0,0,55,4.3,-,1.3,-,-,-,238,,73,-,-,-,30.1,69.1,-,-,-,-,-,-,-,-1.3
Joffrey Lauvergne,5,0,0,0,0,0,0,0,0,0,208,5.6,3.8,0.9,0.2,0.3,0.2,1159,789,180,34,55,49,47.9,71.9,28.5,50.4,108,106,-0.4,-2.6,14.3,5.2
Tony Lavelli,4,0,0,0,0,0,0,0,0,0,86,6.9,2.0,0.7,-,-,-,591,59,63,-,-,-,36.7,85.3,-,-,-,-,-,-,-,4.7
Zach LaVine,2,1,0,0,0,0,0,0,0,0,259,15.1,3.2,3.4,0.2,0.8,1.5,3911,833,874,56,218,392,44.0,82.9,36.7,50.1,113,102,0.2,-1.9,14.1,6.0
