Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,TP,TR,TAST,TBLKS,TSTLS,T3PS,FG%,FT%,3P%,EF%,DRTG,ORTG,VORP,BPM,EFF,Win_Shares
Ashraf Amaya,4,0,0,0,0,0,0,0,0,0,85,4.5,4.2,0.4,0.2,0.3,0.0,379,355,36,13,29,1,45.5,63.3,50.0,45.7,107,103,-0.7,-4.4,11.5,1.9
Al-Farouq Aminu,3,1,0,0,0,0,0,0,0,0,623,7.6,6.0,1.2,0.6,1.0,0.8,4721,3741,749,358,608,477,42.2,73.2,33.7,48.0,106,102,7.4,-0.1,12.3,23.8
Lou Amundson,4,0,0,0,0,0,0,0,0,0,428,3.7,3.6,0.4,0.7,0.4,0.0,1564,1541,190,306,152,0,47.4,44.4,0.0,47.4,106,100,0.1,-2.0,12.0,6.9
Bob Anderegg,3,0,0,0,0,0,0,0,0,0,33,4.0,2.1,0.9,-,-,-,133,69,29,-,-,-,38.5,54.8,-,-,-,-,-,-,9.3,0.0
Chris Andersen,5,0,0,0,0,0,0,0,0,0,695,5.4,5.0,0.5,1.4,0.4,0.0,3755,3493,337,991,312,15,53.2,65.4,22.1,53.5,102,116,9.8,1.2,16.7,39.7
David Andersen,4,0,0,0,0,0,0,0,0,0,103,4.9,2.8,0.6,0.2,0.2,0.3,501,292,57,21,20,35,44.0,67.4,34.7,47.8,108,101,-0.7,-4.2,11.7,1.5
Alan Anderson,2,0,0,0,0,0,0,0,0,0,330,7.3,2.2,1.1,0.1,0.6,1.0,2421,714,371,31,182,331,40.5,81.6,34.4,48.4,110,103,-0.2,-2.1,10.3,7.4
Andrew Anderson,1,0,0,0,0,0,0,0,0,0,194,10.7,2.7,1.7,-,-,0.1,2081,527,327,-,-,10,41.0,75.5,15.9,41.3,-,-,-,-,10.9,3.5
Antonio Anderson,3,0,0,0,0,0,0,0,0,0,1,2.0,1.0,0.0,0.0,0.0,0.0,2,1,0,0,0,0,33.3,-,-,33.3,114,66,0.0,-11.4,-1.7,0.0
Cliff Anderson,2,0,0,0,0,0,0,0,0,0,84,3.0,1.3,0.9,-,-,0.0,253,107,72,-,-,0,35.4,58.5,-,35.4,-,-,-,-,10.6,0.3
Dan Anderson,5,0,0,0,0,0,0,0,0,0,140,12.2,9.4,1.1,-,-,0.0,1707,1316,158,-,-,0,48.1,72.7,-,48.1,-,-,-,-,17.5,10.9
Dan Anderson,1,0,0,0,0,0,0,0,0,0,95,3.7,1.0,1.7,0.0,0.4,-,347,91,166,3,36,-,47.2,84.6,-,-,101,,-0.6,-4.2,12.3,1.6
Derek Anderson,3,0,0,0,0,0,0,0,0,0,615,12.0,3.2,3.4,0.1,1.1,1.0,7357,1988,2083,87,691,645,40.8,85.3,34.1,46.3,106,108,13.3,0.9,15.3,43.9
Dwight Anderson,1,0,0,0,0,0,0,0,0,0,5,4.2,0.4,0.6,0.0,0.2,0.0,21,2,3,0,1,0,50.0,70.0,-,50.0,112,96,-0.1,-9.0,10.6,0.0
Eric Anderson,4,0,0,0,0,0,0,0,0,0,27,1.6,1.1,0.2,0.1,0.1,0.1,42,31,5,2,3,2,34.3,59.3,100.0,37.1,95,97,0.0,-3.4,13.1,0.2
Greg Anderson,5,0,0,0,0,0,0,0,0,0,680,7.3,6.2,0.6,0.9,0.7,0.0,4953,4246,385,590,480,2,49.2,55.7,8.7,49.2,106,100,-2.6,-2.7,13.0,18.7
J.J. Anderson,3,0,0,0,0,0,0,0,0,0,157,4.8,2.8,0.7,0.2,0.7,0.0,751,439,110,39,107,0,46.5,55.8,0.0,46.5,104,98,0.3,-1.5,12.1,2.7
James Anderson,3,0,0,0,0,0,0,0,0,0,247,5.8,2.3,1.2,0.2,0.5,0.8,1422,560,291,55,121,196,41.1,75.5,32.1,48.8,110,100,-0.9,-2.8,9.9,3.3
