EFF,PPG,TRPG,APG,BPG,SPG,FG%,FT%,EF%,DRTG,ORTG,VORP,BPM
13.3,10.5,4.8,2.1,0.3,1.5,42.3,72.6,50.2,105,106,25.8,1.5
7.9,3.8,1.4,0.9,0.4,0.3,32.6,75,32.6,112,88,-0.1,-6.5
14.5,9.8,1.8,3.3,0.1,0.7,47.7,85.6,51.3,110,115,1.9,-1.6
4.9,2.2,0.6,0.2,0,0.2,35.2,60,39.5,102,80,-1.2,-8.6
16.3,9.2,2.7,4,0.1,1.3,40.9,87.1,48,104,107,20.8,2.1
9.9,3,2.6,0.3,0.5,0.3,50.1,58.2,50.2,106,98,-0.7,-2.8
13.6,4,2,0.3,0.1,0.2,46.5,80,46.6,105,105,-0.1,-4.2
13.4,6.6,1.7,3.1,0,0.5,43.8,80.6,45.9,108,106,-1.1,-2.4
12.2,6.5,3.5,0.8,0.6,0.6,44.4,76.5,47,106,101,0.3,-1.9
6.9,5.1,2.5,1.2,0.2,0.1,39.2,58.3,44.3,114,94,-0.3,-5.9
13.4,5.3,7.1,0.6,0.7,0.4,52.8,55.1,52.8,103,106,1.1,-1.5
12.6,7.1,2.5,2.2,0.2,0.7,47.9,75.4,49.4,108,113,3.6,-0.5
9.2,3.8,2.9,0.8,0.3,0.6,40.1,71.7,48.3,105,106,4.6,0.3
13.1,9.9,1.7,3.4,0.1,0.7,41.2,77.2,48.9,109,106,1,-1.8
13.7,8,3.2,1.6,0.3,1,46.9,72.8,47,106,106,9.8,-0.2
14.1,9.7,1.8,3.9,0,0.6,40.8,86.4,49.1,111,110,1.7,-1.6
11.1,1.6,1.2,0.1,0.1,0.2,51.4,50,51.4,106,109,0,-2.2
13,7.6,4.7,1.2,0.5,0.5,44.6,67,44.8,102,95,-1,-2.5
8.8,5.6,4.5,0.8,0.6,0.5,40.3,68.6,40.3,108,91,-5,-4.9
12.5,12.1,1.9,2.9,0.2,0.9,40.5,74.3,41.2,104,93,-4.1,-4
7.3,2.7,0.7,1.4,0,0.2,33,71.4,37.8,107,86,-1.6,-7.2
10.5,4.8,4.6,2,0.3,0.4,45.9,65.2,45.9,100,92,2.2,-1.2
14.7,4.7,4.4,1.3,0.5,0.7,53.6,50.4,53.6,102,106,1.8,1.2
12.4,2.9,2.7,0.4,0.3,0.2,55.3,77.6,55.5,102,111,0.4,-1.4
21.3,16.3,10.9,2.3,1,0.6,59.9,77,59.9,110,118,1,1.6
14.3,10.5,4,1.1,0.5,0.6,45.9,77,51.9,113,112,0.9,-1.3
10.1,4.8,2.2,0.6,0.2,0.2,40.8,74.7,53.2,110,107,-1,-2.8
10.9,1.8,1,0.5,0,0.1,37.5,65,37.5,110,91,-0.1,-6.3
7.4,3.8,2.2,0.7,0,0.3,41.4,81.1,45.4,111,95,-0.7,-5.2
7,2.6,2.5,0.4,0.5,0.3,36.1,55.9,36.1,105,80,-1.2,-6.8
13,8.7,2.6,6,0.1,1.1,43.7,77.9,44.8,110,100,0.3,-1.9
18.4,12.7,6.1,0.9,1,0.4,53.6,68.3,55.6,112,113,0.1,-1.1
11.3,2.6,1.7,1.1,0.3,0.4,40.6,51,40.8,101,95,-0.1,-2.4
13,8.8,5,0.8,0.9,0.5,48.4,70.3,48.4,105,99,-0.8,-2.3
14.3,12.8,5.1,1.4,1.2,0.5,47.3,81.2,47.3,106,104,4.2,-1.3
11,3.3,1.7,0.6,0.1,0.3,40.7,69.2,41.4,102,98,-0.3,-4
5,1.2,1,0.2,0.1,0.1,29.6,84.6,30.6,105,83,-0.2,-7.7
-3.2,1.2,2.8,0.8,0.6,0,20,0,20,100,48,-0.1,-10.4
7.6,3.2,1.5,1.8,0.2,0.7,36.1,70.7,42,112,94,-0.5,-3.6
16.3,15,7.4,1.9,1,0.7,48.5,63.8,48.7,107,104,10.4,-0.4
7.4,3.2,1.2,1.5,0.2,0.4,36.1,76.9,38.9,108,87,-0.5,-5.4
14.3,4,3.5,0.6,0.5,0.7,51,54.2,51.8,104,109,2.2,0.9
10.8,1.1,1.6,0,0.3,0,37.5,100,37.5,104,96,-0.1,-11.7
12,9.7,6.2,6.2,0.7,1.6,37.3,47,45.2,106,98,2.2,1.2
15.7,12.4,6.1,2.2,0.3,1.1,47.2,78.7,47.7,104,107,19.3,1.5
15.3,6.4,4.7,1.1,1.3,0.3,46.4,55,51.4,106,105,0.3,0.3
15.1,11.3,5.8,2.9,0.2,0.9,53.9,73,53.9,110,115,13.3,2
12.2,5.9,1.5,2.1,0.2,0.8,43.2,76.8,46.9,107,99,-0.6,-2.4
8.9,5.9,3.5,0.4,0.3,0.4,48.8,49.2,48.8,106,90,-3.4,-5.5
14.3,12.1,6.4,2.3,0.7,0.9,46.8,69.2,46.8,102,102,9.4,-0.1
15.1,10.6,2,2.1,0.1,0.8,45.9,82.1,52.6,109,108,7.4,-0.4
8.1,2.2,1.8,1.3,0.1,0.4,32.9,69.6,33.5,109,86,-0.2,-4.5
14.6,9,2.1,3.9,0,0.4,42.5,79.4,48.6,110,105,2,-1.5
14.4,14.3,4.6,1.2,0.9,0.4,43.9,82.4,48.6,111,103,-0.9,-2.2
24.6,22.1,11.7,3.9,0.8,1.5,54.1,73.5,55.8,105,119,93.5,7.4
9.9,2.9,0.8,1.5,0,0.7,35.6,90,37.8,103,90,-0.1,-3.8
13.4,13.4,4.9,1.5,0.2,0.7,44.9,78.9,50,108,107,2.8,-1.3
18.1,16,9.1,2.1,1.4,1.2,48.1,69.1,48.1,102,103,7,1
12.7,8.2,4.6,1.8,0.5,0.8,43.6,74.5,51.3,106,107,16.7,1
4.9,2.3,0.7,0.7,0.1,0.3,46.2,37.5,46.2,106,84,-0.1,-6.7
9.6,5.9,2.1,2.8,0.2,0.9,47.9,75.3,48.2,106,99,-0.9,-2.8
9.6,3.3,1.1,2,0,0.4,36.9,72.7,40.5,109,96,-0.5,-4.6
8.6,4.6,3.5,0.5,0.2,0.3,37.1,70.2,37.3,108,89,-2.7,-7.4
16.4,10.5,1.9,3.3,0.1,0.9,46,85.8,53.6,110,114,10.6,0.2
15.7,9.3,3,3.2,0.3,1,46,82.3,57,105,116,27.2,2.6
9.8,2.2,1.1,1.9,0,0.3,41.7,77.4,53.4,108,101,-0.4,-4.5
