EFF,PPG,TRPG,APG,BPG,SPG,FG%,FT%,EF%,DRTG,ORTG,VORP,BPM
7.6,2.1,0.8,0.3,0,0.1,36.9,70.8,42.2,110,97,-0.2,-4.6
13.2,9.3,3.8,1.4,0.3,1,42.8,78.5,51.3,107,110,8.2,0.7
13.3,9.6,5.6,1.2,0.3,0.5,49.7,73.7,49.7,106,102,-1,-2.3
18.3,16.4,7.3,1.9,0.5,1.1,48.4,70.6,48.5,105,108,24.9,0.9
11.8,6.9,1.9,2.7,0.2,0.9,38.3,72.6,42.3,108,97,-0.9,-2.9
20,21.2,10.4,4.3,0.5,1.8,45.2,73,45.2,97,104,6.2,3.3
11.2,6,3.9,0.7,0.5,0.7,46.9,64.9,49.7,108,107,3.9,-1
6.8,2.3,0.7,0.5,0,0.3,34.7,67.4,40.2,107,93,-0.6,-5.9
2.2,0.6,1.7,0.1,0.5,0.1,25.9,0,25.9,105,73,-0.2,-5.5
13.5,2.9,2.5,0.6,0.1,0.4,39,72.2,39,111,111,0,-2.7
10.4,5.4,4.7,1,0.5,0.5,47.3,53.8,47.3,107,99,1.7,-1.4
8.2,2.7,2,0.4,0.3,0.4,44.4,74.3,44.6,108,100,-0.6,-3.6
16,11.7,2.4,1.8,0.2,0.9,45.7,84.3,51.3,109,106,10.1,-0.3
15.9,12.9,5.2,0.5,0.7,0.3,54.5,64.2,54.5,108,103,-5,-3.5
7.5,4.5,1.6,1.2,0.1,0.5,44.7,82.5,46.3,107,105,-2.9,-2.9
13.8,9.2,1.9,1.9,0.1,0.8,46.5,84.9,57,112,112,1.7,0
23.9,23.3,4.4,6.7,0.2,1.8,47.8,90.5,58,106,118,48,6.5
2.1,0.7,0.8,0.2,0.1,0.1,31.3,0,31.3,106,67,-0.1,-8.4
10.2,3.4,1.5,2,0.2,1.2,41.4,73.5,41.4,99,100,-0.1,-2.2
15.1,14.1,2.5,2.3,0.1,0.9,45.4,77.9,45.6,111,101,-2.7,-2.9
15.4,7.7,7.8,0.5,1.7,0.5,52.1,70.6,52.1,102,106,7.2,-0.7
14.3,7.4,7.1,0.8,1.4,0.3,49.8,62.6,49.8,104,106,13.1,0.2
15.2,15.9,2.6,4.9,0.3,0.8,44.4,82,47.4,105,110,3.6,-0.9
16.7,18.5,6.8,3.4,0.6,1.3,48.4,78,48.4,100,104,17.8,1.8
14.6,7.6,1.8,3.4,0.1,0.6,44.4,79.3,47.9,109,114,4.1,-1.2
11.5,7.1,2.2,1.6,0.3,0.5,40.3,74.3,45.8,110,100,0.1,-1.9
12.9,7.9,2.8,1.8,0.3,0.9,45.1,72.1,46.4,106,101,2.9,-1
20.1,18.4,14.9,1.8,1.5,0.6,46.8,65.7,46.8,99,97,0.6,-1.5
10.8,7.1,1.3,0.6,0.1,0.3,40.2,82.4,55.2,114,106,-0.9,-2.9
11.7,12.8,2.4,2,0.2,0.9,43.9,78.9,51.8,106,105,0.7,-0.8
21.5,24.3,5.7,3,0.2,1,54,81.8,54,109,119,44,3.1
6.2,2.1,2.6,0,0.6,0.1,39.6,57,39.6,105,79,-2,-9.8
4.7,2.4,3.3,0.8,0.3,0.5,36.7,57.1,36.7,105,74,-0.1,-5
11.3,3.4,1.4,0.4,0.1,0.1,41.4,81.8,48.1,109,98,-0.3,-4.7
18.9,19,9.5,3.7,0.7,0.8,53.2,74.7,53.2,105,114,23.1,2.6
12.5,5,2.8,0.6,0.2,0.4,44.6,81.7,44.6,104,101,-0.7,-3.8
10.5,3.1,1.8,0.3,0.3,0.2,42.5,57.8,42.5,109,93,-0.6,-7.6
8.7,3.7,2.5,0.7,0.2,0.5,41.1,64.4,43,108,93,-0.7,-4.7
27.2,23.8,10.5,2.1,2.4,1.4,51.6,79.6,52.7,103,116,25.8,4.6
14.1,10,7.5,1.1,1,0.5,44.8,72.7,44.8,104,106,8.8,-0.7
17.8,16.1,3.8,7.2,0.4,1.8,40.9,71.1,46.5,105,105,34.1,2.7
12.5,1.4,1.3,0.1,0.1,0.2,35.6,46.2,35.6,104,93,-0.2,-6
14.7,8.2,1.8,4.9,0.2,0.8,51,82.8,53.4,111,118,5.1,-1.1
9.2,1.9,0.8,0.3,0.1,0.2,31.7,73.5,32.1,110,92,-0.4,-6.5
11.6,5.3,2.4,0.7,0.2,0.3,45.1,73.7,45.5,105,98,-2,-3.6
15.2,8,7.9,0.9,1.2,0.6,53,56.2,53,103,114,28.6,1.8
15.4,4.3,3.2,0.4,0.6,0.2,59.3,64,59.3,109,119,0.2,-1.5
16.7,6.5,6.6,0.8,0.9,0.5,56.7,57.7,56.7,105,119,9.1,1
9.6,4.9,1.9,1.8,0.1,0.7,39.4,78.7,47.1,107,95,-0.4,-2.5
12.4,8,4.4,0.9,0.3,0.7,44.7,70,44.8,103,100,-0.8,-2.3
10.3,4,1.6,0.4,0.2,0.3,43.6,68.9,43.6,108,97,-0.4,-5.4
11.8,8.2,1.5,1.7,0.1,0.4,45.8,83.7,53.7,109,110,0.7,-1.8
14.3,12.9,2,4.5,0.2,0.9,44.8,82.1,45,108,106,1.4,-1.7
11,2.3,1.7,0.3,0.1,0.3,37.3,72.4,45,104,102,-0.1,-2.8
15,7.8,4.8,1,0.5,0.4,48.2,60.7,48.4,108,107,0.8,-1.1
15,3.8,1.1,0.4,0.2,0.4,48,82.4,48.5,107,113,0.1,-1
11.9,5.5,3,1.3,0.3,0.9,44.2,65.5,45.5,107,96,0.3,-1.7
21.1,1.8,1.3,0,0.5,0,40,60,40,93,116,0,-7.5
4.5,1.5,2,0,0.5,0,20,20,20,105,53,-0.1,-22.3
10.6,2.6,1.9,0.4,0.2,0.3,40.2,73.2,40.2,109,98,-0.5,-4.7
14.7,13.5,3.5,3.3,0.3,1,44.6,78.1,48,109,102,6.5,-0.8
10.7,5.3,1.8,0.7,0.1,0.6,42,57.1,42.2,108,96,-0.7,-5
10.9,6.4,6,0.6,0.3,0.4,47.2,60.5,47.3,110,104,-4.2,-3.6
19.1,18.9,3,3.8,0.1,1.2,51.1,85.1,51.6,107,108,19,0.6
15.8,12,6.1,1.3,1.4,0.5,57.2,68.5,57.2,100,106,10.3,0.4
14.7,11.1,2.5,5.5,0.1,1.1,45.6,85.7,47.4,113,107,0.7,-1.8
11,5.5,2.2,1.4,0.2,0.6,47,68.8,47.2,110,92,-0.5,-4.4
7.1,0.8,0.7,0,0.2,0,40,100,40,110,113,0,-6.6
14.6,3.8,2.5,0,0.5,0.3,58.3,50,58.3,102,104,0,-5.9
11.6,2.8,0.8,0.2,0,0,46.7,100,53.3,115,97,-0.1,-9.1
14.1,12.3,3.4,1.5,0.6,1.1,40.6,73.9,46.2,109,104,2.8,-1.1
11.6,5.2,2.6,0.7,0.4,0.4,40.2,77.8,46.9,107,99,-0.6,-2.6
13.9,6.8,2.6,2,0.2,0.6,49.1,68.1,49.1,107,104,1.6,-0.8
11.8,3.8,1.8,1.7,0.1,0.5,42.9,83.5,49.1,102,99,0.4,-0.8
4.5,1.4,0.9,0.9,0,0,18.2,71.4,22.7,116,84,-0.1,-9.7
12.1,4.8,4.2,0.6,0.5,0.7,50.7,62.1,50.7,104,105,2.4,-1
15,5.8,5.9,0.6,0.8,0.5,54,71.2,56.7,104,112,1.9,-0.6
12.7,8,1.5,2.6,0.1,0.5,41.1,77.9,47.3,113,103,-2.6,-3.4
9.6,5.6,3.4,1.1,0.1,0.7,40.6,52.4,49.3,110,99,0,-2.6
12.9,5.4,3,0.8,0.2,0.5,48.7,61.8,53.5,111,112,0.2,-1.7
13.5,9.1,2.3,3.2,0.1,0.7,47.5,84,49.5,109,111,4.5,-1.1
8.9,5.7,1.8,2.8,0.1,0.6,37.7,80.5,43.1,111,97,-1.6,-4.9
16.5,11,6.2,1.1,0.9,0.8,52.8,69.1,52.8,103,105,4.4,-0.3
12.6,8.1,3.6,1.7,0.2,0.9,40.1,75.8,49.4,104,104,8.1,0.8
13.7,9.1,2.5,1.9,0.1,0.8,40.8,76.9,45.9,105,102,2.1,-1.3
10,5.9,1.9,3.7,0,0.5,39.4,84.4,48.6,111,107,-2.3,-3.2
7.8,1.2,0.7,0.2,0,0,33.3,80,33.3,104,86,-0.1,-8.8
8.1,4.7,3.9,0.5,0.2,0.3,45.9,58,45.9,108,94,-2.1,-4.6
14.4,3,0.5,0.5,0.1,0.3,50,76.2,51.2,105,98,-0.1,-4.4
15.4,15,6.1,2.3,0.5,1,45.5,77,48.4,105,107,22.5,0.9
9.3,2.8,3,1,0.2,0.8,42.9,64.4,43.5,106,98,0.5,-0.4
3.8,3.3,1,1.3,0,0.3,33.3,66.7,36.7,108,78,-0.1,-7.7
17.3,11.5,8.6,1.3,0.5,0.5,47.3,77.9,47.3,104,107,4,-0.9
17.9,19.9,4.1,3.2,0.3,1,45,82.8,46.5,110,109,9.3,-0.5
12.2,3.1,1.6,0.8,0.1,0.3,37.2,67.2,38.6,101,92,-0.3,-3.5
16.7,4.6,4,0.3,0.4,0.3,55.2,75.7,55.2,105,114,-0.3,-3.1
14.3,5.6,2.5,0.4,0.3,0.6,50.4,64.3,52.1,104,111,0,-2.1
12.9,8.6,4.4,3.5,0.5,0.6,49.3,71.7,52.4,107,106,19.5,0.7
6.1,3.5,1.4,0.7,0.1,0.3,35.7,65,45,111,99,-1.1,-3.6
9.9,0.8,0.3,0.2,0,0,25,60,25,118,108,0,-5.9
12.9,5.8,1.4,2.5,0,0.5,40.1,83.1,46,110,103,-0.4,-2.3
9,1.2,0.6,0.1,0.1,0.1,40,75,47.5,106,98,-0.1,-5
13.4,15.4,2.9,2.6,0.4,1,43.2,78.4,48.3,109,103,1.6,-1.2
5.5,2.8,1.1,0.8,0,0.2,35,76.2,35.5,106,78,-0.7,-7.8
12.5,4.8,1.4,2.4,0.1,0.4,38.8,84.7,49.5,111,114,0.1,-1.8
15.9,8.1,6.4,1.4,1,0.8,50.5,78.8,51.5,107,112,8.7,1.6
12.6,6.1,4.5,2.1,0.6,0.9,46.2,73.5,46.3,102,103,10.8,0.9
7.2,1.3,3,0.7,0.7,0.7,33.3,100,33.3,91,63,0,1.7
7,2.2,0.5,1,0.1,0.2,36.7,65.2,36.7,114,88,-0.3,-7.4
9.1,3.4,1.2,2.1,0,0.5,40.6,87.2,40.9,106,93,-0.4,-5.2
15.1,10.4,2.6,4.6,0.3,0.7,40.8,79.4,48.2,112,114,2.2,-0.4
15.6,6,3.1,0.3,0.3,0.2,50.9,78.6,51,108,110,-2,-4.8
9.8,2,3.7,0.4,1,0.4,42.7,46.7,42.8,102,97,4.3,0
17.7,11.8,8.2,3.1,1.4,1.1,49.5,69.2,50,101,108,45.3,3.3
8.7,5,2.5,1.2,0.2,0.5,39.3,81.8,47.2,106,99,0,-1.7
12.8,8.4,1.9,1.8,0.1,0.8,41.3,83.3,46.1,110,99,-2.1,-3
12.5,3.1,0.6,0.6,0,0,50,80,65.6,111,116,0,-3.8
10.8,4.9,3.3,0.6,0.4,0.3,43.9,79.1,43.9,103,98,-3.8,-3.7
13.8,8.6,7.8,0.8,1.3,0.4,57.1,73.2,57.1,106,114,13.2,0
17.7,19,6.7,5.1,0.3,1.1,42.9,77,50.2,109,107,1.1,2.2
8.7,2.4,0.6,2,0,0.4,40.4,81,40.4,109,90,-0.5,-7.4
11.5,7,1.3,2.2,0.1,0.6,41.6,79.9,46.7,109,103,-3.6,-3
8.4,2.4,2.4,0.3,0.1,0.2,38.9,54.4,38.9,102,90,-0.5,-6.2
12.1,2.6,3.9,0.4,0.3,0.5,53.4,37.5,53.4,103,103,0.3,-1.3
9.6,6.5,2.2,1.3,0.1,0.3,37.4,67.9,46.1,114,99,-0.8,-4.8
12.2,6.5,2.7,0.8,0.1,0.5,45.7,69.6,53.1,114,108,-0.1,-2.4
9.7,4.1,1.1,0.7,0.1,0.3,38.9,88.4,44.8,112,95,-1.3,-5.4
5.7,1.8,1.8,2.1,0,1.1,29.2,0,29.2,108,69,-0.1,-4.3
12,6.7,1.4,2.2,0.1,0.7,46.1,66.3,48.5,114,101,-0.4,-3.4
11.9,7.9,6.5,1.1,0.7,0.5,49.5,60.1,49.5,104,101,1.1,-1.6
15.1,11,2.2,5.9,0.1,1,48.4,67.8,49.5,111,107,2.6,-1.5
13.2,7.6,2.2,2.3,0.1,0.9,40.4,82.4,48.6,109,105,2.6,-0.6
11.5,7.1,2.1,1.1,0.2,0.6,43.9,83.1,47.1,109,103,-1,-2.9
11.7,5,0.8,2.1,0.1,0.8,40.8,94.1,42,109,91,-0.2,-4.6
5.2,3.4,1.8,1,0.2,0.6,27.7,50,31.9,109,81,-0.1,-5.8
5.1,2.4,1.7,0.3,0.2,0.7,33.3,50,33.3,108,73,-0.1,-6
17.2,13.8,3.1,4.8,0.2,1,46.7,76.2,51.9,109,110,16.5,1.2
8.2,1.8,0.5,0.3,0,0.1,36.7,60,41.7,112,89,-0.1,-6.5
7.4,2.1,2.1,0.4,0.3,0.2,46.7,64.9,46.9,108,99,-2.3,-4.1
9.6,4.4,1.2,2.2,0,0.5,38.2,83,45.1,109,98,-2.6,-4.6
20.7,20.7,6.9,1.7,0.3,1.4,47,74.8,47.1,102,107,17.7,1.2
14,11.4,1.8,5.2,0.1,1.1,46.7,79.8,47.5,110,104,-2,-2.4
4.1,2.9,0.8,2.5,0,0.3,32.9,66.7,37.2,112,79,-0.7,-11.3
21.1,20.4,6.1,5.6,0.7,2,47.2,78.8,49.5,105,114,75.6,6
6.8,2.4,1.5,0.4,0.1,0.2,30.2,71.4,30.2,115,86,-0.2,-8.2
10.9,4.1,4.1,0.8,0.2,0.3,41.9,69.4,41.9,98,92,-0.1,-2.5
12.6,7.9,3.5,0.8,0.4,0.5,42.5,79.9,44,108,99,-3.1,-4.2
5.3,2.5,3.2,2.3,0.3,0.2,50,25,50,108,73,-0.1,-6.4
21.8,13.9,13.5,1.1,1.6,1.3,54.1,42.9,54.2,100,109,13.6,1.6
11.9,11.8,5.8,0.9,0.5,0.5,46.8,73.6,46.8,108,103,-7.4,-3.7
10.7,3.9,6.2,0.4,1.2,0.4,41.2,45.8,41.2,102,98,0.6,-1.9
12.8,7.8,3.3,1.6,0.2,0.8,46.5,73.1,54.9,110,114,15,1.1
12.1,6.7,1.1,1.2,0.1,0.4,46.2,67.2,47.5,112,99,-1.5,-4.9
10.8,6.5,2.3,4.4,0.1,0.8,39.3,78.4,48.8,108,107,2,-1.5
15.3,16.1,2.2,4.5,0.1,0.9,46,84.3,49.8,110,113,19.3,0.2
15.9,10.6,3.4,1.1,0.5,1.3,50.9,69.4,51.1,108,107,1,-0.3
12,7.3,1.3,1.2,0.1,0.4,40.4,60.8,45.4,114,101,-1.6,-4.8
24.2,19,10.8,3,2.2,0.7,50.6,69.6,50.7,96,110,89.3,5.5
14,8,1.6,3.9,0.1,0.8,46.7,81,49.2,109,108,0.2,-1.9
13.9,11.2,4.3,2.2,0.3,0.7,44.1,80.3,51.4,107,109,15.9,0.3
11.7,8,3.1,4,0.5,1.4,42,69.8,45.1,108,94,0.7,-1.2
10.4,5.1,4.4,1.6,0.3,1.3,45.7,72.5,45.7,107,110,18.5,1.2
10.2,3.5,2.2,0.6,0.2,0.4,42.7,55.9,43.2,103,95,-0.6,-3.5
25.3,27.2,7.2,4,1.1,1.1,49.1,88.4,54,105,117,53.8,5.1
6.9,3.5,1.1,2,0.1,0.5,43.5,75,43.7,113,92,-2.9,-5.8
11.4,5,1.7,0.9,0.5,0.6,46.9,66.7,47.9,112,101,-0.2,-2.8
8.6,5,2.1,1.3,0.2,0.3,41.4,68.9,41.4,110,91,-0.7,-5.3
11.1,1.3,0.4,0.5,0,0.1,45.9,77.8,48.6,106,106,-0.1,-4.6
11.3,7.4,2.1,2,0.2,1.2,39.6,77.8,40.6,103,91,-0.1,-3.1
13.8,10.8,2.2,1.7,0.1,0.6,44.5,76.7,46.1,112,104,-3.2,-3.4
16.5,10.8,7.3,1.8,1,0.5,50.4,78.8,50.4,104,112,8.7,1.5
10.6,5.1,2.7,0.3,0.7,0.3,40.3,66.7,40.3,109,93,-3.1,-6.9
7.2,4.3,2.2,0.8,0.3,0.5,34.6,75,39.8,109,85,-0.8,-5.7
10.9,6,7.9,1,3.5,0.4,45.8,64.9,45.8,100,97,22.4,1.5
11.8,6.7,1.2,2.5,0,0.5,47.2,77.3,47.2,110,101,-1.9,-4.8
9.6,3.6,1.9,0.4,0.2,0.3,38.5,72.2,40.4,107,96,-0.5,-4.7
14.6,2.1,1,0.2,0.3,0.1,48.6,46.2,48.6,104,96,-0.1,-5.4
18.7,6.2,4.4,0.5,0.8,0.4,48.8,51.2,48.8,102,104,0,-1.9
10.1,2.6,0.9,0.1,0,0.2,30.2,94.1,41.3,109,99,-0.2,-5.6
3.3,1.1,2.6,1,0.4,0.5,30.8,37.5,30.8,107,93,0,-2.1
16.3,7.7,6.3,0.7,0.7,0.8,50.2,63.2,50.2,104,106,0.9,-0.8
12.6,6,1.5,0.6,0.1,0.4,44.8,71.9,44.8,111,98,-0.6,-4.6
13.6,7.6,1.7,4,0,1,40.5,80.6,42.8,110,104,-0.9,-2.7
-0.4,2,4.7,1.3,0.3,1,11.1,40,11.1,103,48,-0.1,-10.4
12.8,10.8,3.4,2,0.4,1,47.5,77.9,49.9,109,103,5.7,-0.8
8.6,2.7,2.5,0.3,0.4,0.3,32.3,58.3,32.3,107,93,-0.1,-5.2
8.4,2.4,1.8,0.7,0.3,0.2,37.8,70.9,37.8,108,92,-0.6,-4.6
12.6,6.1,1,2.6,0.1,0.8,44.9,79.5,44.9,109,99,-2.1,-3.9
14.7,12.7,5.1,1.3,0.7,0.4,49.5,69.8,49.5,107,106,0.3,-2
7.8,1.8,0.5,1,0,0.3,42.9,33.3,42.9,111,98,0,-5.1
6,1.5,1,0.1,0.3,0.1,44.7,60,44.7,110,93,-0.5,-6.2
12.7,10.9,2.7,2.7,0.3,1.4,42.3,80.3,43.7,108,98,1.6,-1.6
13.4,8.6,3.6,2.8,0.3,1.1,45.3,68.9,50,106,106,16.8,1.2
11.5,6.5,1.7,3.5,0.1,0.7,40.7,82.7,46.3,107,101,-1,-2.2
11.2,3.6,2.7,0.2,0.2,0.3,42.3,72,42.3,109,101,-1.5,-6.1
12.2,6.3,1.6,2.9,0,1,37,77.8,41.5,108,97,-0.4,-3.8
13.1,8.6,2.8,2.6,0.2,0.9,47.3,85.4,53.7,107,116,13.7,0.9
9.9,3.8,2.2,0.5,0,0.1,36.4,79.5,43.6,108,92,-0.7,-7.2
11.1,8,2.2,1.1,0.1,0.5,40.9,85.1,50.9,112,106,-0.6,-2.2
12.3,7,3.6,1.4,0.2,0.5,49.4,64.9,49.6,106,100,-0.1,-2.1
13.9,14.2,4.3,2.6,0.4,0.8,46.5,79.9,50,107,110,16.1,0.6
10.2,3.6,2.9,0.7,0.5,0.4,43.1,73.1,43.1,102,96,-0.2,-2.4
16,15.7,3.5,1.4,0.2,0.8,47.9,78.4,53.6,111,114,20.5,0.3
16.4,5.8,2,0.6,0.1,1.1,52.7,65.3,52.8,108,111,1.3,0.7
14.6,11.9,6.5,1.6,0.8,0.7,45.2,73,47.1,106,104,7.1,-0.4
11.9,3,2.4,0.3,0.4,0.3,43.3,61.3,43.3,106,102,-0.3,-3.2
16,17.8,3.5,4.6,0.3,1.7,45.1,77.2,48,109,103,12.3,-0.3
15.2,9.5,6.7,1.5,1.6,0.6,51,68.9,51,106,105,7.4,0.5
11.5,6,5.1,0.9,1,0.9,41,72.6,41,99,95,3.1,-1
10,3.7,3.5,0.6,0.5,0.5,47.8,70,47.9,103,100,0.8,-1.6
8.7,7.8,2.2,2.6,0.1,1.1,40.2,75.2,40.4,109,91,-0.8,-3.6
10.6,5.3,3.2,0.7,0.6,0.3,46,62.5,46,108,97,-2.4,-3.6
23.7,23.3,10.8,3,1.9,0.7,48,78.3,51.3,102,107,4.7,2.8
8.5,1.4,0.6,0.1,0.1,0.1,46.2,61.5,46.2,109,101,-0.1,-6.8
7.2,1.8,2,0.2,0.2,0.2,41.1,67.7,41.1,108,92,-1.4,-5.8
12.4,2.5,1.5,0.6,0,0.1,37.9,60,37.9,107,96,0,-5.1
11.6,9.9,2.1,2.1,0.2,0.4,43.5,77.8,43.8,113,99,-2.4,-5.1
19.9,21.5,5.5,3.6,0.7,0.9,50.7,83.2,50.7,110,111,35.6,1.7
6.4,3.6,1.1,0.9,0.3,0.4,41.6,55.6,44.7,105,87,-0.6,-5.9
7.9,2.9,0.9,0.6,0.1,0.4,37.5,72.4,43.8,110,96,-0.2,-4.2
11.9,5.6,4,1,0.3,0.7,41.4,77,41.4,107,95,-0.3,-2.9
11.6,6.6,3.1,0.9,0.3,0.6,45.8,80.3,53.6,110,114,1.9,-0.5
10.3,4.2,1.3,1.9,0.1,0.5,41.9,76.8,46.3,110,97,-1.5,-4.6
10.1,3.8,2.8,0.4,0.4,0.4,54.6,59.4,54.6,103,104,0,-2
23.6,24.2,8.5,4.2,1.7,2,50.6,77.7,50.9,100,112,79.9,6.2
10.6,2.8,3.9,0.5,0.6,0.5,46.3,62.1,46.3,102,105,0.5,-1.1
5.2,3.9,0.5,0.8,0,0.2,36,79.5,42.5,117,84,-0.6,-10.5
25.6,3.1,1.1,0.1,0,0.1,81.8,66.7,81.8,111,136,0,-0.9
11.8,3.7,1.6,0.8,0.2,0.3,38.1,82,43,106,103,-0.1,-2.2
10.3,4.4,2.1,1,0,0.4,45,57.1,47.5,110,95,-0.2,-4.3
-1.3,0.5,0.4,0.6,0.1,0.1,20,0,22.5,115,65,-0.2,-10.8
6.9,4.5,1.8,2.1,0.1,0.7,34.6,77.6,37.5,111,89,-0.6,-5
17.3,3.5,2.6,0.4,0.5,0.4,56.9,68.7,57.3,107,122,2,1
11.9,6.7,2.5,0.7,0.2,0.5,44.2,78.5,50.8,110,113,2.2,-1.2
12,7.7,1.4,2.6,0.1,0.7,45.2,80.7,48,110,101,-3.7,-3.5
11.7,4.1,7.1,0.6,0.1,0.7,46.5,52.8,46.6,104,103,0,-2
17.4,16.1,4.7,5,0.4,1.3,44.2,76,47.2,109,104,13.1,1
8.3,3.4,1.2,1.4,0.1,0.5,38.9,78,43.3,106,92,-0.7,-3.7
21,21,9.8,1.9,2.4,1,50.4,74,50.5,99,106,40.9,2
0.6,0.4,0.3,0.3,0.1,0,0,75,0,109,64,0,-9.3
8,5.9,1.7,2.2,0.2,0.4,40,75.9,46.9,109,97,-1.2,-3.2
8.6,6.3,2.7,0.8,0.6,0.7,41.1,61.1,45,111,88,-0.5,-4
13.4,4.2,4.3,0.4,1,0.3,51.3,55.7,51.3,102,107,0.6,-1.1
19.6,11.3,8.1,1,0.8,0.7,54.4,65.4,54.4,106,116,9.1,1.3
13.3,7.7,1.9,2.9,0.1,0.8,42.3,73.9,50.7,109,103,1.6,-1.4
6,2.4,0.6,1,0,0.1,31,100,39.7,111,90,-0.1,-7.6
10.9,5.3,1.4,0.8,0,0.3,42.8,73,44.5,112,99,-1.1,-5
15.5,5.3,3.2,0.8,0.2,0.8,39.5,77,40.8,105,108,0.4,-0.8
11,4.4,3.5,0.4,0.7,0.4,43.5,64.9,47.6,104,92,-0.1,-3.1
18.7,11.5,7.2,1.1,1.3,0.8,52.1,66.1,52.4,104,110,12.5,1.2
19.6,4.1,3.4,0.4,0.4,0.3,56.1,68.2,56.1,105,115,0.1,-0.1
12.4,4.5,7.1,0.7,0.4,0.6,42.4,62.9,43.2,104,106,0.4,-1.7
9.8,4.3,3,0.5,0.2,0.2,43.3,75.1,43.3,109,95,-3.5,-6.7
9.3,3.8,1,1.3,0.1,0.4,36.4,75.4,38.8,111,89,-0.8,-7.7
14.2,4.6,4.1,0.8,0.2,0.3,57.9,67.1,57.9,109,120,0.5,-1.2
13.3,2.7,0.9,0.6,0,0,50,75,57.1,112,104,0,-4.7
-1.1,1.5,1.1,0.2,0.3,0.2,24,62.5,26,114,62,-0.2,-12.5
13.8,11.3,3,5.3,0.2,1.2,41.2,78.9,45.8,109,103,10.1,-0.6
11.3,1.9,0.6,0.1,0,0,41.7,0,54.2,110,97,0,-7.1
6.2,3.5,1.1,0.4,0.2,0.4,40.1,79.2,50.9,110,109,-0.2,-2.7
14,9.1,2.4,2.2,0.2,1,39.9,84,51.1,108,112,5.7,1.8
11.7,2.4,1.7,0.4,0.2,0.2,44.5,67.5,44.5,101,105,0.1,-1.7
-7.6,0.8,1.1,0.1,0.1,0,5.6,87.5,5.6,107,51,-0.2,-24
12.9,6.4,1.9,0.9,0.2,0.5,48,75,48.7,110,108,0.3,-1.8
12.1,9.4,2.6,2.7,0.1,0.8,41.8,82.5,50.5,112,107,0.9,-1.1
11.8,7,2.8,1.3,0.3,0.4,44.6,84,50.6,106,106,5,-0.9
8.5,2.3,2,0.3,0.4,0.1,49.6,41,49.6,107,95,-0.6,-4
11.7,6.2,2.5,1,0.2,0.5,47.4,73.3,47.5,107,103,-0.1,-2.1
12.1,6.8,4.3,1.6,0.2,0.8,47.3,66.6,51.5,107,107,2.8,-0.1
9.7,8.6,1.7,2.4,0.1,0.6,43.1,82.9,44.5,112,100,-1.6,-4.1
16,15.7,4.4,2.9,0.3,0.9,44.4,81.1,49.2,108,108,29.2,1
8.7,5.5,3.2,0.9,0.3,0.7,40.1,71.5,48.7,110,103,0.7,-1
11.9,3.5,2.2,0.5,0.3,0.4,50,62.5,50,109,102,-0.1,-3.1
11.7,8.3,2.1,3,0.1,1.1,39.9,81.7,46.6,107,107,9.3,-0.9
10.2,4.7,1.7,1.8,0.3,0.4,33.7,73.9,37.6,105,93,-0.1,-3.6
13.4,9.6,4.6,1.2,0.3,0.5,43.5,69.1,43.9,107,94,-4.1,-4.7
15.1,11.3,3.4,4.8,0.1,1,49.8,76.4,50.1,110,111,14.3,0.3
10.1,2.2,0.2,0.7,0,0.1,48.3,100,56.9,112,93,-0.1,-9.6
15.2,4.9,3.4,0.9,0.2,0.4,53.4,77.4,53.4,106,112,0.4,0.1
15.5,12.8,2.6,5.4,0.2,1.2,44.4,81.5,47,110,108,10.1,-0.5
11.3,9.2,1.9,3.9,0,0.7,40,80.9,44.2,114,94,-2.7,-4.9
12.1,6.2,2.1,2.2,0.1,0.7,41.9,62.9,42.9,105,94,-0.7,-2.8
-0.9,1.8,0.8,0.7,0,0,21.4,66.7,25,113,66,-0.2,-11.2
10,7.1,1.5,1.2,0,0.3,43.1,73.3,52.5,112,106,-0.4,-2.6
12.4,5.8,2,0.9,0.1,0.4,43.4,70.2,47.8,107,99,-0.2,-2.6
4.4,3.2,1.8,0.9,0,0.3,30.8,50,31.7,111,72,-0.2,-9.9
9.4,2.5,1.7,0.2,0.1,0.1,50.7,69.7,50.7,104,101,-0.6,-6.5
12.2,9.2,3,3.4,0.3,1.6,46,73.1,46.9,102,103,12.4,0.4
10.8,6.4,3.6,1.4,0.3,0.6,46.4,77.3,46.4,103,102,0,-2
13.9,11.6,1.8,6.4,0.1,1.2,46.7,82,46.9,106,103,-0.4,-2.1
16.4,3.2,0.9,0.2,0,0.3,37.5,76.5,40,102,104,-0.1,-4.9
15.1,11.2,3.1,5.8,0.1,1.2,43.3,81.5,44.8,108,102,3.6,-0.8
3.2,1.2,0.7,0.7,0,0.2,23.4,80,23.4,104,66,-0.3,-10.1
9.9,3.5,1.5,1,0,0.3,34.4,66.7,39.1,108,89,-0.1,-4.8
16.2,8.2,7.2,0.7,0.2,0.4,47.2,78.5,47.2,107,111,-2.1,-3
8.9,3.9,2.6,0.5,0.3,0.1,44,74.8,44.4,107,96,-6.3,-5.2
14.2,4.9,6.9,0.9,0.4,0.7,49.7,61.5,49.8,102,115,13,1.3
5.3,3.7,1.3,2.1,0.1,0.7,37.3,67.3,37.4,107,80,-1.3,-6.6
