Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,FG%,FT%,3P%,EF%,EFF,Win_Shares
Dwight Buycks,1,0,0,0,0,0,0,0,0,0,49,6.3,1.6,1.7,0.0,0.6,0.6,40.2,88.3,37.0,44.9,11.7,0.3
Derrick Byars,4,0,0,0,0,0,0,0,0,0,2,5.0,5.5,0.5,0.0,1.0,0.0,27.3,100.0,0.0,27.3,14.9,0.1
Andrew Bynum,5,0,0,1,1,0,0,0,0,0,418,11.5,7.7,1.2,1.6,0.3,0.0,55.6,69.0,11.1,55.6,19.6,37.4
Will Bynum,2,0,0,0,0,0,0,0,0,0,360,8.1,1.6,3.3,0.1,0.7,0.2,44.2,79.9,27.2,45.8,14.6,7.0
Walter Byrd,4,0,0,0,0,0,0,0,0,0,22,1.5,1.1,0.3,-,-,0.0,32.6,29.4,0.0,32.6,2.3,-0.3
Marty Byrnes,3,0,0,0,0,0,0,0,0,0,263,5.7,2.2,1.6,0.1,0.4,0.1,46.3,73.6,32.6,46.9,10.8,4.2
Tommy Byrnes,0,0,0,0,0,0,0,0,0,264,6.5,1.5,1.2,-,-,-,29.9,64.8,-,-,-,6.7
Michael Bytzura,0,0,0,0,0,0,0,0,0,60,3.5,-,0.5,-,-,-,24.4,50.0,-,-,-,-1.4
Zarko Cabarkapa,4,0,0,0,0,0,0,0,0,0,150,4.3,2.1,0.6,0.2,0.2,0.2,42.7,73.3,27.3,44.9,11.5,1.1
Barney Cable,4,0,0,0,0,0,0,0,0,0,362,6.6,5.2,1.1,-,-,-,42.0,66.5,-,-,10.6,6.5
Bruno Caboclo,3,0,0,0,0,0,0,0,0,0,35,1.5,1.0,0.3,0.2,0.2,0.2,28.2,83.3,24.2,33.8,4.9,-0.4
Jason Caffey,4,0,0,0,0,0,0,0,0,0,462,7.3,4.4,0.9,0.2,0.5,0.0,48.1,63.7,0.0,48.1,12.5,13.5
Michael Cage,5,0,0,0,0,0,0,0,1,0,1140,7.3,7.6,0.9,0.6,0.9,0.0,51.5,66.4,0.0,51.5,13.9,74.4
Gerry Calabrese,2,0,0,0,0,0,0,0,0,0,104,4.7,1.4,1.4,-,-,-,34.8,70.2,-,-,9.4,1.9
Nick Calathes,2,0,0,0,0,0,0,0,0,0,129,4.6,1.9,2.7,0.1,1.0,0.2,44.1,58.1,28.8,46.8,12.3,2.6
Jose Calderon,2,1,0,0,0,0,0,0,0,0,866,9.1,2.4,5.9,0.1,0.8,1.1,47.2,87.3,40.8,54.4,16.0,57.8
Adrian Caldwell,4,0,0,0,0,0,0,0,0,0,197,2.0,2.5,0.2,0.2,0.3,0.0,48.5,45.3,0.0,48.5,8.7,1.1
Jim Caldwell,5,0,0,0,0,0,0,0,0,0,137,7.1,7.7,2.0,-,-,0.0,42.5,63.1,13.3,42.6,13.2,5.7
Joe Caldwell,3,0,0,4,0,2,0,0,0,0,782,16.1,5.3,3.4,0.4,2.1,0.1,46.6,57.2,22.5,46.7,14.7,37.8
Kentavious Caldwell-Pope,2,1,0,0,0,0,0,0,0,0,415,11.8,3.4,1.6,0.2,1.2,1.6,40.8,79.4,34.5,48.7,12.0,20.9
Bill Calhoun,2,0,0,0,0,0,0,0,0,0,442,7.8,4.0,2.3,-,-,-,34.1,70.2,-,-,11.1,18.5
Corky Calhoun,3,0,0,0,0,0,0,0,0,0,542,5.3,3.6,1.1,0.3,0.6,0.0,46.0,78.2,-,46.0,9.3,14.4
Demetrius Calip,1,0,0,0,0,0,0,0,0,0,7,1.6,0.7,1.7,0.0,0.1,0.1,22.2,66.7,20.0,25.0,1.8,-0.2
Tom Callahan,0,0,0,0,0,0,0,0,0,13,1.3,-,0.3,-,-,-,20.7,41.7,-,-,-,-0.1
Rick Calloway,2,0,0,0,0,0,0,0,0,0,64,3.2,1.2,1.0,0.1,0.3,0.0,39.1,69.6,0.0,39.1,6.6,-0.3
Ernie Calverley,0,0,0,1,0,0,1,0,0,165,11.9,-,3.5,-,-,-,29.1,70.7,-,-,-,5.8
Mack Calvin,1,0,0,5,0,0,0,0,0,0,755,16.1,2.5,4.8,0.1,1.1,0.1,44.7,86.3,24.5,45.1,17.4,60.4
Dexter Cambridge,3,0,0,0,0,0,0,0,0,0,53,7.0,3.2,1.1,0.1,0.5,0.0,48.4,68.7,0.0,48.4,12.1,0.4
Marcus Camby,5,0,0,0,0,4,0,0,0,0,973,9.5,9.8,1.9,2.4,1.0,0.0,46.6,67.0,20.5,46.8,17.8,81.6
Elden Campbell,5,0,0,0,0,0,0,0,0,0,1044,10.3,5.9,1.1,1.5,0.7,0.0,46.0,69.9,5.4,46.0,15.9,62.8
Tony Campbell,2,0,0,0,0,0,0,0,0,0,690,11.6,3.1,1.5,0.2,0.8,0.1,45.6,79.0,25.4,46.0,14.5,20.7
Isaiah Canaan,1,1,0,0,0,0,0,0,0,0,224,8.4,1.9,1.9,0.1,0.6,1.6,37.1,83.4,35.1,48.1,10.7,4.1
Larry Cannon,2,0,0,0,0,0,0,0,0,0,213,16.6,2.9,3.6,0.2,0.3,0.1,41.1,76.0,25.7,41.5,14.8,7.1
Clint Capela,5,1,0,0,0,0,0,0,0,0,254,11.3,8.5,0.9,1.5,0.6,0.0,63.3,49.4,0.0,63.3,22.1,24.4
Derrick Caracter,5,0,0,0,0,0,0,0,0,0,41,2.0,1.0,0.2,0.2,0.1,0.0,48.5,73.9,-,48.5,10.0,0.3
Frank Card,3,0,0,0,0,0,0,0,0,0,306,9.5,5.6,1.2,,,0.0,46.1,63.2,17.6,46.1,12.3,11.1
Brian Cardinal,3,0,0,0,0,0,0,0,0,0,456,4.6,2.3,1.0,0.2,0.6,0.5,40.8,86.1,37.2,48.2,12.7,15.4
Howie Carl,1,0,0,0,0,0,0,0,0,0,31,5.5,1.3,1.8,-,-,-,33.3,70.6,-,-,9.4,-0.5
Chet Carlisle,0,0,0,0,0,0,0,0,0,51,5.0,-,0.3,-,-,-,26.8,60.9,-,-,-,1.6
Geno Carlisle,2,0,0,0,0,0,0,0,0,0,6,1.3,0.2,0.2,0.0,0.0,0.0,66.7,66.7,-,66.7,18.1,0.1
Rick Carlisle,2,0,0,0,0,0,0,0,0,0,188,2.2,0.8,1.1,0.0,0.2,0.1,42.2,77.5,22.9,43.5,7.0,0.5
Don Carlos,2,0,0,0,0,0,0,0,0,0,56,11.2,5.0,2.8,-,-,0.0,41.0,75.6,0.0,41.0,11.9,2.7
Al Carlson,5,0,0,0,0,0,0,0,0,0,28,2.6,2.6,0.5,0.4,0.3,-,34.2,62.1,-,-,9.0,0.1
Don Carlson,0,0,0,0,0,0,0,0,0,180,8.0,1.7,1.8,-,-,-,33.0,62.3,-,-,-,11.3
Bob Carney,2,0,0,0,0,0,0,0,0,0,19,3.6,2.4,0.8,-,-,-,37.5,52.5,-,-,8.7,0.3
Rodney Carney,3,0,0,0,0,0,0,0,0,0,299,5.9,2.0,0.4,0.3,0.5,0.7,42.2,70.4,33.8,48.5,11.9,6.2
Bob Carpenter,0,0,0,0,0,0,0,0,0,122,7.7,4.1,1.4,-,-,-,33.7,76.8,-,-,-,6.9
Antoine Carr,4,0,0,0,0,0,0,0,0,0,987,9.3,3.4,1.1,0.9,0.4,0.0,50.3,78.0,13.0,50.3,14.2,42.1
Austin Carr,2,0,0,1,0,0,0,0,0,0,682,15.4,2.9,2.8,0.1,0.8,0.0,44.9,80.4,15.4,44.9,15.0,32.9
Chris Carr,2,0,0,0,0,0,0,0,0,0,297,6.7,2.2,1.0,0.2,0.3,0.5,41.6,80.7,33.8,46.2,11.9,3.9
Cory Carr,2,0,0,0,0,0,0,0,0,0,42,4.1,1.2,1.6,0.2,0.5,0.1,32.9,75.0,16.7,34.0,5.1,-1.2
Kenny Carr,4,0,0,0,0,0,0,0,0,0,674,11.6,7.4,1.4,0.4,0.7,0.0,51.0,68.4,7.9,51.0,14.7,33.6
M.L. Carr,3,0,0,0,0,1,0,0,0,0,678,10.0,4.5,2.0,0.4,1.4,0.1,47.2,73.7,27.5,47.6,14.0,33.5
Darel Carrier,2,0,0,3,0,0,0,0,0,0,350,20.0,3.4,2.6,,,1.1,41.7,85.1,37.7,45.1,15.6,30.5
Bob Carrington,2,0,0,0,0,0,0,0,0,0,82,8.2,2.3,1.5,0.3,0.8,0.0,42.8,76.0,0.0,42.8,9.4,1.3
DeMarre Carroll,4,1,0,0,0,0,0,0,0,0,505,8.9,4.2,1.2,0.3,1.0,1.1,43.3,74.3,36.1,50.9,13.4,26.4
Joe Barry Carroll,5,0,0,1,0,0,0,0,0,0,705,17.7,7.7,1.8,1.6,1.0,0.0,47.4,74.7,0.0,47.4,16.4,35.6
Matt Carroll,2,0,0,0,0,0,0,0,0,0,459,6.6,1.9,0.7,0.1,0.5,0.7,41.3,84.1,38.4,48.2,11.6,10.7
Jimmy Carruth,4,0,0,0,0,0,0,0,0,0,4,1.3,1.0,0.0,0.5,0.0,0.0,66.7,100.0,-,66.7,9.7,0.0
Anthony Carter,1,0,0,0,0,0,0,0,0,0,623,4.8,2.1,3.8,0.2,1.0,0.2,40.4,70.6,25.0,42.3,10.8,10.4
Butch Carter,3,0,0,0,0,0,0,0,0,0,361,8.7,1.5,1.9,0.1,0.9,0.1,47.5,78.8,30.7,48.5,12.7,8.5
Fred Carter,2,0,0,0,0,0,0,0,0,0,611,15.2,3.9,3.5,0.2,1.2,-,42.5,69.3,-,-,14.0,14.8
George Carter,3,0,0,1,0,0,0,0,0,0,479,18.1,6.8,2.0,0.3,1.0,0.1,44.5,81.3,30.1,44.9,15.1,24.3
Howard Carter,2,0,0,0,0,0,0,0,0,0,66,5.3,1.3,1.1,0.1,0.3,0.1,44.0,77.4,22.7,44.7,10.3,0.0
Jake Carter,0,0,0,0,0,0,0,0,0,24,3.4,-,1.0,-,-,-,30.7,67.9,-,-,-,0.7
Maurice Carter,2,0,0,0,0,0,0,0,0,0,10,4.2,1.1,0.4,0.0,0.0,0.4,31.4,80.0,36.4,37.1,5.8,0.0
Reggie Carter,2,0,0,0,0,0,0,0,0,0,135,3.5,1.2,1.5,0.1,0.4,0.0,38.8,77.2,0.0,38.8,9.1,0.4
Ron Carter,2,0,0,0,0,0,0,0,0,0,59,3.0,1.1,0.6,0.2,0.3,0.0,42.9,62.3,-,42.9,8.0,-0.2
Vince Carter,3,1,0,8,2,0,0,0,0,0,1429,17.5,4.4,3.2,0.6,1.0,1.5,43.7,79.9,37.2,48.8,19.0,124.0
Wendell Carter Jr.,5,1,0,0,0,0,0,0,0,0,28,10.8,7.1,2.1,1.5,0.6,0.2,47.0,80.5,20.8,48.0,15.8,1.2
Michael Carter-Williams,1,1,0,0,0,0,0,0,0,0,302,11.1,4.5,4.7,0.5,1.4,0.5,40.2,70.1,25.4,42.4,13.7,4.5
Bill Cartwright,5,0,0,1,0,0,0,0,0,0,963,13.2,6.3,1.4,0.7,0.5,0.0,52.5,77.1,0.0,52.5,15.2,72.8
Jay Carty,4,0,0,0,0,0,0,0,0,0,28,2.7,2.1,0.4,-,-,-,38.2,72.7,-,-,10.1,-0.1
Alex Caruso,1,0,0,0,0,0,0,0,0,0,37,3.6,1.8,2.0,0.3,0.6,0.4,43.1,70.0,30.2,48.7,8.7,0.5
Cornelius Cash,4,0,0,0,0,0,0,0,0,0,6,3.5,2.7,0.2,0.2,0.3,-,39.1,50.0,-,-,12.0,0.0
Sam Cash,4,0,0,0,0,0,0,0,0,0,7,2.9,2.7,0.0,0.4,0.7,0.0,22.2,70.6,-,22.2,3.2,-0.1
Sam Cassell,1,0,0,1,1,0,0,0,0,0,993,15.7,3.2,6.0,0.2,1.1,0.7,45.4,86.1,33.1,48.0,19.5,87.5
Omri Casspi,4,1,0,0,0,0,0,0,0,0,573,7.9,4.0,1.1,0.2,0.6,0.8,45.3,67.5,36.8,51.8,13.0,19.1
Harvey Catchings,5,0,0,0,0,0,0,0,0,0,725,3.2,5.0,0.8,1.7,0.4,0.0,43.5,64.7,0.0,43.5,9.6,21.2
Terry Catledge,4,0,0,0,0,0,0,0,0,0,515,12.7,6.4,0.9,0.2,0.6,0.0,48.5,65.4,9.4,48.5,14.1,20.9
Sid Catlett,3,0,0,0,0,0,0,0,0,0,9,0.7,0.4,0.1,-,-,-,22.2,22.2,-,-,-1.4,-0.2
Kelvin Cato,4,0,0,0,0,0,0,0,0,0,541,5.5,5.3,0.5,1.3,0.5,0.0,50.7,64.4,7.7,50.7,14.4,28.6
Bobby Cattage,4,0,0,0,0,0,0,0,0,0,78,3.1,1.4,0.1,0.0,0.2,0.0,40.4,76.5,14.3,40.6,10.2,0.3
Willie Cauley-Stein,5,1,0,0,0,0,0,0,0,0,241,9.9,5.9,1.5,0.8,0.9,0.0,52.6,61.7,23.5,52.7,16.7,12.5
Duane Causwell,5,0,0,0,0,0,0,0,0,0,541,4.9,4.2,0.4,1.4,0.4,0.0,50.7,61.8,28.6,50.8,11.7,15.8
Tyler Cavanaugh,4,0,0,0,0,0,0,0,0,0,39,4.7,3.3,0.7,0.1,0.2,0.8,44.1,81.0,36.0,54.6,13.0,1.2
Ron Cavenall,5,0,0,0,0,0,0,0,0,0,58,1.4,2.9,0.3,0.8,0.2,0.0,33.7,54.5,-,33.7,4.2,-0.2
Cedric Ceballos,3,0,0,1,0,0,0,0,0,0,609,14.3,5.3,1.2,0.3,0.7,0.4,50.0,75.3,30.9,51.8,19.3,40.4
John Celestand,1,0,0,0,0,0,0,0,0,0,16,2.3,0.7,1.3,0.0,0.4,0.1,33.3,83.3,22.2,35.6,2.7,-0.1
Al Cervi,1,0,1,0,1,0,0,0,0,0,202,7.9,1.8,3.2,-,-,-,35.9,83.9,-,-,21.0,21.9
Lionel Chalmers,1,0,0,0,0,0,0,0,0,0,36,3.1,0.9,1.4,0.0,0.4,0.3,33.6,62.5,24.5,38.4,6.5,-0.2
Mario Chalmers,1,0,0,0,0,0,0,0,0,0,646,8.9,2.5,3.7,0.2,1.5,1.2,41.7,79.3,35.1,49.8,12.7,32.3
Bill Chamberlain,3,0,0,0,0,0,0,0,0,0,78,5.3,2.5,1.4,0.4,0.7,0.0,41.0,65.2,25.0,41.3,10.6,0.5
Wilt Chamberlain,5,0,1,13,10,2,7,1,11,4,1045,30.1,22.9,4.4,-,-,-,54.0,51.1,-,-,26.1,247.3
Jerry Chambers,3,0,0,0,0,0,0,0,0,0,320,8.3,3.2,0.8,0.1,0.3,0.0,44.0,77.4,20.0,44.0,13.2,5.2
Tom Chambers,4,0,0,4,2,0,0,0,0,0,1107,18.1,6.1,2.1,0.6,0.8,0.2,46.8,80.7,30.7,47.6,16.5,79.0
Mike Champion,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,-43.7,-0.1
Tyson Chandler,5,1,0,1,1,3,0,0,0,0,1103,8.5,9.3,0.9,1.2,0.6,0.0,59.6,64.6,0.0,59.6,16.2,100.5
Wilson Chandler,4,1,0,0,0,0,0,0,0,0,607,13.3,5.4,1.8,0.6,0.7,1.3,44.5,76.7,34.2,50.2,13.2,27.4
Don Chaney,2,0,0,0,0,5,0,0,0,0,790,8.4,4.0,2.2,0.5,1.2,0.0,43.6,77.6,20.0,43.7,11.6,36.3
John Chaney,0,0,0,0,0,0,0,0,0,16,4.4,-,1.3,-,-,-,29.1,69.0,-,-,-,-0.1
Rex Chapman,1,0,0,0,0,0,0,0,0,0,666,14.6,2.5,2.7,0.2,0.9,1.2,43.0,80.0,35.0,47.7,13.9,24.7
Wayne Chapman,3,0,0,0,0,0,0,0,0,0,206,7.0,2.5,1.5,,-,0.1,38.3,69.1,25.7,39.3,8.8,1.1
Len Chappell,5,0,0,1,0,0,0,0,0,0,670,9.3,5.1,0.8,,-,0.0,45.2,69.7,-,45.2,15.6,21.9
Ken Charles,2,0,0,0,0,0,0,0,0,0,322,8.5,2.0,2.5,0.4,1.3,-,44.1,78.9,-,-,11.9,9.8
Lorenzo Charles,3,0,0,0,0,0,0,0,0,0,36,3.4,1.1,0.2,0.2,0.1,0.0,55.7,66.7,-,55.7,11.5,0.5
Calbert Cheaney,3,0,0,0,0,0,0,0,0,0,825,9.5,3.2,1.7,0.2,0.8,0.2,46.6,69.1,29.8,48.0,11.0,23.1
Maurice Cheeks,1,0,1,4,0,5,0,0,0,0,1101,11.1,2.8,6.7,0.3,2.1,0.1,52.3,79.3,25.5,52.6,16.5,103.5
Phil Chenier,2,0,0,3,1,0,0,0,0,0,578,17.2,3.6,3.0,0.6,1.6,0.1,44.4,80.6,40.0,44.5,15.3,39.3
Will Cherry,1,0,0,0,0,0,0,0,0,0,8,1.9,0.6,1.0,0.1,0.8,0.3,26.3,50.0,22.2,31.6,5.8,0.0
Derrick Chievous,3,0,0,0,0,0,0,0,0,0,154,7.1,2.4,0.7,0.1,0.5,0.1,44.3,75.5,24.2,44.8,11.8,2.7
Pete Chilcutt,4,0,0,0,0,0,0,0,0,0,584,4.3,3.3,0.8,0.4,0.5,0.3,44.1,69.6,38.1,48.1,11.9,10.6
Josh Childress,2,0,0,0,0,0,0,0,0,0,391,9.1,4.7,1.6,0.5,0.9,0.3,52.2,77.9,32.9,54.2,15.6,25.7
Randolph Childress,1,0,0,0,0,0,0,0,0,0,51,2.4,0.5,1.0,0.0,0.3,0.4,32.8,80.0,27.3,40.3,5.9,-0.2
Chris Childs,1,0,0,0,0,0,0,0,0,0,541,6.9,2.4,4.9,0.1,0.9,0.7,40.3,81.6,34.4,46.1,11.2,22.9
Leroy Chollet,0,0,0,0,0,0,0,0,0,63,2.9,1.1,0.8,-,-,-,29.1,62.7,-,-,-,0.2
Jim Chones,4,0,0,0,0,0,0,0,0,0,788,12.5,8.2,1.6,1.1,0.6,0.0,47.8,68.0,0.0,47.8,13.9,45.8
Marquese Chriss,4,1,0,0,0,0,0,0,0,0,163,8.1,4.6,0.9,0.9,0.7,0.8,43.7,61.7,30.5,49.4,11.7,2.4
Fred Christ,0,0,0,0,0,0,0,0,0,6,3.3,1.3,1.2,-,-,-,27.8,90.9,-,-,16.7,0.1
Cal Christensen,3,0,0,0,0,0,0,0,0,0,291,5.2,5.5,1.6,-,-,-,33.0,60.6,-,-,11.8,8.2
Bob Christian,5,0,0,0,0,0,0,0,0,0,248,3.8,4.1,0.8,0.4,0.2,0.0,48.5,70.4,-,48.5,12.3,5.7
Doug Christie,2,0,0,0,0,4,0,0,0,0,827,11.2,4.1,3.6,0.5,1.9,1.0,42.6,82.1,35.4,47.9,14.6,55.7
Dionte Christmas,3,0,0,0,0,0,0,0,0,0,31,2.3,1.2,0.3,0.1,0.1,0.3,35.5,75.0,29.0,42.7,11.1,0.3
Rakeem Christmas,4,0,0,0,0,0,0,0,0,0,30,2.1,1.9,0.1,0.2,0.1,0.0,46.7,72.4,-,46.7,11.0,0.5
Semaj Christon,1,0,0,0,0,0,0,0,0,0,64,2.9,1.4,2.0,0.1,0.4,0.2,34.5,54.8,19.0,37.2,5.7,0.1
Patrick Christopher,2,0,0,0,0,0,0,0,0,0,4,1.5,1.5,0.0,0.0,0.3,0.0,25.0,-,0.0,25.0,-2.6,-0.1
Stephen Chubin,2,0,0,0,0,0,0,0,0,0,226,12.8,3.8,3.9,-,-,0.0,39.8,82.0,19.6,40.1,14.7,12.6
Robert Churchwell,2,0,0,0,0,0,0,0,0,0,4,1.5,0.8,0.3,0.0,0.0,0.0,37.5,-,-,37.5,1.2,-0.1
Archie Clark,2,0,0,2,1,0,0,0,0,0,725,16.3,3.3,4.8,0.1,1.1,-,48.0,76.9,-,-,16.4,64.7
Carlos Clark,2,0,0,0,0,0,0,0,0,0,93,2.4,0.9,0.7,0.0,0.5,0.0,40.7,80.3,0.0,40.7,9.5,0.6
Earl Clark,3,0,0,0,0,0,0,0,0,0,261,4.4,3.0,0.5,0.5,0.3,0.3,40.3,66.4,32.8,43.9,10.2,2.9
Gary Clark,4,1,0,0,0,0,0,0,0,0,22,3.4,2.9,0.5,0.8,0.5,0.9,28.9,100.0,26.3,41.0,8.1,0.3
Ian Clark,2,1,0,0,0,0,0,0,0,0,295,5.2,1.3,1.1,0.1,0.4,0.6,44.5,79.1,34.1,51.4,10.3,4.2
Keon Clark,4,0,0,0,0,0,0,0,0,0,353,8.2,5.9,0.9,1.6,0.5,0.0,50.0,64.5,5.3,50.0,15.4,18.2
Richard Clark,2,0,0,0,0,0,0,0,0,0,58,6.2,2.4,1.7,-,-,0.0,29.6,67.5,5.6,29.7,4.3,-0.1
Coty Clarke,3,0,0,0,0,0,0,0,0,0,3,2.0,0.3,0.0,0.0,0.0,0.7,50.0,-,100.0,75.0,23.9,0.0
Jordan Clarkson,1,1,0,0,0,0,0,0,0,0,329,14.3,3.2,2.7,0.1,0.9,1.3,44.4,81.0,33.7,49.5,15.1,9.5
Gian Clavell,2,0,0,0,0,0,0,0,0,0,7,2.9,1.0,0.4,0.0,0.3,0.9,33.3,100.0,40.0,50.0,7.4,0.1
Victor Claver,3,0,0,0,0,0,0,0,0,0,80,3.2,2.2,0.7,0.2,0.4,0.4,39.8,58.5,29.3,46.6,7.5,0.2
John Clawson,3,0,0,0,0,0,0,0,0,0,70,4.7,2.8,0.7,-,-,0.0,47.6,68.5,-,47.6,7.0,1.3
Charles Claxton,5,0,0,0,0,0,0,0,0,0,3,0.7,0.7,0.0,0.3,0.0,0.0,50.0,0.0,-,50.0,0.2,0.0
Speedy Claxton,1,0,0,0,0,0,0,0,0,0,334,9.3,2.5,4.3,0.1,1.5,0.1,40.9,76.2,19.3,41.7,14.5,14.2
Jim Cleamons,1,0,0,0,0,1,0,0,0,0,652,8.3,3.0,3.9,0.2,1.0,0.1,46.0,76.5,22.6,46.1,12.6,29.1
Mateen Cleaves,1,0,0,0,0,0,0,0,0,0,167,3.6,1.0,1.9,0.0,0.4,0.1,38.9,72.8,26.7,39.9,8.5,-0.8
Barry Clemens,3,0,0,0,0,0,0,0,0,0,790,6.7,3.2,1.1,0.1,0.7,-,45.4,75.6,-,-,12.4,18.6
Antonius Cleveland,2,0,0,0,0,0,0,0,0,0,17,1.4,0.8,0.1,0.3,0.4,0.2,38.1,66.7,75.0,45.2,4.5,0.0
Nat Clifton,4,0,1,1,0,0,0,0,0,0,544,10.0,8.2,2.5,-,-,-,36.1,63.3,-,-,14.2,15.0
Bill Closs,3,0,0,0,0,0,0,0,0,0,186,9.0,5.0,1.9,-,-,-,31.5,71.8,-,-,10.4,7.1
Keith Closs,5,0,0,0,0,0,0,0,0,0,130,3.9,2.9,0.3,1.3,0.2,0.0,47.1,60.6,0.0,47.1,14.2,1.9
Paul Cloyd,0,0,0,0,0,0,0,0,0,7,2.7,-,0.3,-,-,-,26.9,62.5,-,-,-,-0.1
Bob Cluggish,5,0,0,0,0,0,0,0,0,0,54,4.4,-,0.4,-,-,-,26.1,57.1,-,-,-,1.1
Ben Clyde,3,0,0,0,0,0,0,0,0,0,25,2.8,1.6,0.2,0.1,0.2,-,43.1,77.8,-,-,11.3,0.2
Richard Coffey,3,0,0,0,0,0,0,0,0,0,52,1.3,1.5,0.1,0.1,0.1,0.0,37.3,54.5,0.0,37.3,7.9,0.2
Fred Cofield,1,0,0,0,0,0,0,0,0,0,50,3.4,1.0,1.7,0.1,0.4,0.1,39.5,60.0,18.8,40.3,7.7,-0.5
John Coker,5,0,0,0,0,0,0,0,0,0,25,1.6,1.2,0.1,0.1,0.1,0.0,40.9,83.3,-,40.9,8.9,0.1
Norris Cole,1,0,0,0,0,0,0,0,0,0,360,7.0,2.0,2.7,0.1,0.8,0.6,40.7,74.3,32.4,44.9,9.2,3.0
Ben Coleman,5,0,0,0,0,0,0,0,0,0,227,6.6,4.1,0.6,0.4,0.4,0.0,51.6,75.9,0.0,51.6,12.3,5.0
Derrick Coleman,5,0,0,1,2,0,0,0,0,0,781,16.5,9.3,2.5,1.3,0.8,0.4,44.7,76.9,29.5,46.2,18.0,64.3
E.C. Coleman,4,0,0,0,0,2,0,0,0,0,357,7.2,6.0,1.3,0.4,0.9,-,46.4,69.4,-,-,10.0,12.8
Jack Coleman,4,0,0,1,0,0,0,0,0,0,633,10.6,9.2,2.8,-,-,-,41.6,69.5,-,-,15.7,47.7
Norris Coleman,3,0,0,0,0,0,0,0,0,0,29,5.3,2.8,0.4,0.2,0.4,0.0,34.6,55.6,50.0,34.8,6.6,-0.4
Bimbo Coles,1,0,0,0,0,0,0,0,0,0,852,7.8,2.1,3.9,0.2,0.9,0.3,42.5,81.1,26.7,44.7,12.1,27.4
Jason Collier,5,0,0,0,0,0,0,0,0,0,151,5.6,2.9,0.3,0.2,0.2,0.0,45.5,73.8,35.0,46.0,11.7,1.9
Art Collins,2,0,0,0,0,0,0,0,0,0,29,3.2,1.4,0.9,0.0,0.4,0.0,35.4,66.7,0.0,35.4,4.3,-0.4
Don Collins,2,0,0,0,0,0,0,0,0,0,303,9.8,2.8,1.8,0.3,1.1,0.0,48.5,74.9,6.9,48.5,14.5,10.5
Doug Collins,2,0,0,4,0,0,0,0,0,0,415,17.9,3.2,3.3,0.3,1.2,0.0,50.1,83.3,0.0,50.1,16.1,38.0
James Collins,2,0,0,0,0,0,0,0,0,0,23,2.6,0.6,0.1,0.1,0.3,0.4,38.2,57.1,45.0,46.4,15.3,0.0
Jarron Collins,5,0,0,0,0,0,0,0,0,0,542,3.9,2.9,0.8,0.2,0.3,0.0,45.5,69.9,0.0,45.5,9.4,15.7
Jason Collins,5,0,0,0,0,0,0,0,0,0,735,3.6,3.7,0.9,0.5,0.5,0.0,41.1,64.7,20.6,41.2,7.0,20.1
Jimmy Collins,2,0,0,0,0,0,0,0,0,0,74,3.8,0.9,0.9,-,-,-,41.4,80.4,-,-,12.2,0.6
John Collins,4,1,0,0,0,0,0,0,0,0,86,11.6,7.5,1.5,1.0,0.6,0.3,58.1,72.0,29.9,59.8,18.7,6.3
Mardy Collins,2,0,0,0,0,0,0,0,0,0,189,3.9,1.8,1.7,0.1,0.6,0.2,38.0,59.9,29.9,40.5,7.9,-1.6
Sherron Collins,1,0,0,0,0,0,0,0,0,0,20,0.9,0.3,0.4,0.0,0.1,0.1,28.0,100.0,20.0,32.0,3.6,-0.2
Zach Collins,5,1,0,0,0,0,0,0,0,0,94,5.3,3.6,0.8,0.6,0.3,0.5,43.5,75.9,31.5,49.3,9.6,1.8
Kyle Collinsworth,3,0,0,0,0,0,0,0,0,0,32,3.2,3.3,1.8,0.3,0.5,0.1,38.4,52.5,23.5,40.4,10.0,0.5
Darren Collison,1,1,0,0,0,0,0,0,0,0,660,12.5,2.6,4.9,0.2,1.1,0.9,47.0,85.2,39.1,51.5,16.1,45.2
Nick Collison,4,0,0,0,0,0,0,0,0,0,910,5.9,5.2,1.0,0.5,0.5,0.0,53.4,72.3,20.8,53.6,13.2,44.5
Joe Colone,0,0,0,0,0,0,0,0,0,15,5.5,-,0.6,-,-,-,31.0,68.4,-,-,-,0.1
Sean Colson,1,0,0,0,0,0,0,0,0,0,13,1.2,0.5,0.8,0.0,0.1,0.1,25.0,50.0,20.0,27.1,6.8,-0.1
Steve Colter,1,0,0,0,0,0,0,0,0,0,526,6.3,2.0,2.8,0.1,0.9,0.1,44.8,77.8,28.9,46.1,12.9,17.3
Glen Combs,2,0,0,3,0,0,0,0,0,0,465,16.5,2.6,3.5,0.1,0.6,1.1,43.3,81.0,36.7,47.4,14.2,34.3
Leroy Combs,3,0,0,0,0,0,0,0,0,0,48,4.5,1.2,0.8,0.4,0.5,0.0,49.7,61.5,0.0,49.7,13.5,0.4
John Comeaux,0,0,0,0,0,0,0,0,0,23,3.3,1.2,0.5,-,-,0.0,42.9,71.9,-,42.9,10.3,0.4
