Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,FG%,FT%,3P%,EF%,EFF,Win_Shares
Earl Tatum,2,0,0,0,0,0,0,0,0,0,262,9.6,2.6,1.9,0.4,1.2,0.1,45.9,74.6,33.3,46.0,14.2,7.8
Jayson Tatum,3,1,0,0,0,0,0,0,0,0,107,14.5,5.4,1.7,0.7,1.0,1.4,47.2,83.0,42.4,53.7,15.6,9.6
Edy Tavares,5,0,0,0,0,0,0,0,0,0,13,2.5,2.5,0.3,0.9,0.1,0.0,62.5,27.3,-,62.5,16.3,0.2
Anthony Taylor,1,0,0,0,0,0,0,0,0,0,21,6.9,1.6,2.0,0.2,1.0,0.0,39.7,75.0,0.0,39.7,11.1,0.2
Brian Taylor,1,0,0,2,0,3,0,0,0,0,601,13.1,2.7,4.1,0.3,2.1,0.4,49.3,78.0,35.6,51.0,14.8,46.8
Donell Taylor,2,0,0,0,0,0,0,0,0,0,98,2.7,1.1,0.9,0.1,0.5,0.1,39.5,64.1,20.6,40.8,10.2,0.0
Fatty Taylor,1,0,0,0,0,2,0,0,0,0,640,8.0,3.9,4.0,0.2,2.4,0.1,43.8,67.6,20.6,44.1,10.5,17.0
Fred Taylor,2,0,0,0,0,0,0,0,0,0,88,4.4,1.6,0.8,-,-,-,36.4,59.2,-,-,8.7,-0.6
Isaiah Taylor,1,0,0,0,0,0,0,0,0,0,71,6.3,1.4,2.9,0.2,0.5,0.3,41.3,69.9,24.4,43.8,10.4,0.6
Jay Taylor,2,0,0,0,0,0,0,0,0,0,17,3.0,0.6,0.3,0.2,0.3,0.2,40.4,66.7,23.1,43.3,9.5,-0.1
Jeff Taylor,2,0,0,0,0,0,0,0,0,0,56,3.2,1.5,2.0,0.3,0.8,0.0,41.2,69.6,0.0,41.2,8.1,-0.1
Jeff Taylor,3,0,0,0,0,0,0,0,0,0,132,6.1,2.0,0.8,0.2,0.5,0.6,40.9,66.5,31.9,46.5,8.9,1.3
Jermaine Taylor,2,0,0,0,0,0,0,0,0,0,65,5.4,1.7,0.7,0.1,0.4,0.3,44.1,73.0,28.4,47.1,11.9,0.2
Johnny Taylor,3,0,0,0,0,0,0,0,0,0,54,4.7,2.2,0.5,0.4,0.6,0.5,40.2,71.8,39.4,45.8,8.7,0.1
Leonard Taylor,4,0,0,0,0,0,0,0,0,0,10,1.1,1.2,0.1,0.0,0.0,0.0,0.0,68.8,0.0,0.0,3.8,-0.1
Maurice Taylor,4,0,0,0,0,0,0,0,0,0,534,11.0,4.6,1.2,0.5,0.5,0.0,46.6,71.1,15.2,46.7,13.1,9.9
Mike Taylor,1,0,0,0,0,0,0,0,0,0,51,5.7,1.7,2.1,0.0,0.7,0.3,41.2,69.1,32.5,43.6,10.1,-0.4
Oliver Taylor,2,0,0,0,0,0,0,0,0,0,262,9.7,4.2,2.4,0.2,0.6,0.1,45.6,68.3,23.4,46.0,12.0,10.9
Ronald Taylor,5,0,0,0,0,0,0,0,0,0,77,4.8,3.8,0.9,,-,0.0,46.6,55.3,-,46.6,9.1,1.5
Tyshawn Taylor,1,0,0,0,0,0,0,0,0,0,61,2.9,0.5,0.9,0.0,0.4,0.1,35.4,68.4,36.0,37.9,5.8,-0.9
Vince Taylor,2,0,0,0,0,0,0,0,0,0,31,3.1,1.2,1.3,0.1,0.6,0.0,36.3,65.6,-,36.3,7.6,0.1
Terry Teagle,3,0,0,0,0,0,0,0,0,0,687,11.6,2.6,1.4,0.2,0.8,0.0,46.5,79.2,21.0,46.7,13.7,13.4
Jeff Teague,1,1,0,1,0,0,0,0,0,0,692,12.7,2.5,5.8,0.3,1.2,0.9,44.5,84.5,35.6,48.9,17.1,47.2
Marquis Teague,1,0,0,0,0,0,0,0,0,0,91,2.4,1.0,1.5,0.1,0.3,0.1,34.3,66.1,22.2,36.3,4.9,-0.9
Mirza Teletovic,4,0,0,0,0,0,0,0,0,0,324,8.1,3.2,0.8,0.3,0.3,1.7,40.6,75.5,37.1,52.4,13.0,8.8
Sebastian Telfair,1,0,0,0,0,0,0,0,0,0,564,7.4,1.6,3.5,0.1,0.7,0.6,39.0,77.7,31.9,43.6,10.8,5.0
Collis Temple,3,0,0,0,0,0,0,0,0,0,24,1.8,1.3,0.6,0.2,0.2,0.0,41.5,80.0,0.0,41.5,12.9,0.1
Garrett Temple,3,1,0,0,0,0,0,0,0,0,466,5.8,2.1,1.6,0.3,0.8,0.8,40.8,73.4,35.7,49.0,9.7,10.4
Milos Teodosic,1,1,0,0,0,0,0,0,0,0,58,8.2,2.4,4.1,0.1,0.4,1.7,42.6,81.1,38.6,55.1,11.5,1.5
Ira Terrell,3,0,0,0,0,0,0,0,0,0,127,7.0,4.2,1.1,0.6,0.5,-,49.8,63.8,-,-,11.8,4.1
Jared Terrell,2,1,0,0,0,0,0,0,0,0,1,4.0,1.0,1.0,1.0,2.0,1.0,12.5,50.0,50.0,18.8,-3.4,-0.1
Carlos Terry,2,0,0,0,0,0,0,0,0,0,94,3.0,2.4,1.3,0.3,0.6,0.0,43.4,67.2,0.0,43.4,10.4,1.5
Chuck Terry,3,0,0,0,0,0,0,0,0,0,341,3.8,2.4,0.8,0.1,0.6,0.0,41.9,77.5,32.3,42.2,8.5,6.4
Claude Terry,2,0,0,1,0,0,0,0,0,0,349,5.5,1.4,1.3,0.0,0.4,0.2,46.8,78.5,33.8,48.3,11.9,6.9
Jason Terry,2,0,0,0,0,0,0,0,0,0,1410,13.4,2.3,3.8,0.2,1.1,1.6,44.4,84.5,38.0,51.7,16.2,102.0
Hasheem Thabeet,5,0,0,0,0,0,0,0,0,0,224,2.2,2.7,0.1,0.8,0.3,0.0,56.7,57.8,-,56.7,10.3,4.8
Tom Thacker,1,0,0,0,0,0,0,0,0,0,314,3.2,2.6,1.5,-,-,0.1,36.0,50.8,22.7,36.5,7.4,-0.3
Floyd Theard,1,0,0,0,0,0,0,0,0,0,25,3.8,2.0,1.8,-,-,0.0,34.5,64.3,0.0,34.5,2.3,0.0
Daniel Theis,5,1,0,0,0,0,0,0,0,0,80,5.5,4.2,0.9,0.7,0.4,0.3,54.6,72.7,31.6,58.4,16.1,4.3
