,Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,TP,TR,TAST,TBLKS,TSTLS,T3PS,FG%,FT%,3P%,EF%,DRTG,ORTG,VORP,BPM,EFF,Win_Shares
48,Joe Alexander,3,0,0,0,0,0,0,0,0,0,67,4.2,1.8,0.7,0.4,0.2,0.2,282,120.0,44,30,16,16,41.0,69.8,34.0,44.2,108,96,-0.2,-3.3,9.9,0.5
49,Victor Alexander,5,0,0,0,0,0,0,0,0,0,286,8.9,4.8,0.9,0.6,0.5,0.1,2542,1384.0,257,177,135,18,51.8,63.4,28.6,52.2,109,105,-0.9,-2.6,13.7,8.8
50,Steve Alford,1,0,0,0,0,0,0,0,0,0,169,4.4,0.9,1.0,0.1,0.5,0.2,744,144.0,176,10,85,35,45.9,87.0,32.4,48.7,109,109,-0.2,-2.4,14.4,3.2
51,Bill Allen,5,0,0,0,0,0,0,0,0,0,38,7.9,7.1,0.6,,,0.1,300,269.0,23,,,2,42.9,58.6,100.0,43.2,,,,,11.9,0.6
52,Bob Allen,4,0,0,0,0,0,0,0,0,0,27,1.8,2.1,0.4,,,,48,56.0,10,,,,32.6,55.6,,,,,,,6.8,0.1
53,Grayson Allen,2,1,0,0,0,0,0,0,0,0,17,4.1,0.3,0.4,0.0,0.1,0.6,69,5.0,7,0,1,11,32.3,72.0,26.8,41.1,114,90,-0.3,-8.6,3.8,-0.1
54,Jarrett Allen,5,1,0,0,0,0,0,0,0,0,106,9.3,6.3,1.0,1.3,0.4,0.1,989,667.0,104,134,46,9,59.1,75.4,23.1,59.8,109,122,1.9,1.2,18.5,7.6
55,Jerome Allen,2,0,0,0,0,0,0,0,0,0,117,2.9,1.1,1.7,0.1,0.4,0.3,336,123.0,201,9,52,40,35.0,63.0,31.7,41.1,109,92,-0.7,-4.2,8.5,0.2
56,Kadeem Allen,1,0,0,0,0,0,0,0,0,0,18,1.1,0.6,0.7,0.1,0.2,0.0,19,11.0,12,2,3,0,27.3,77.8,0.0,27.3,106,78,-0.1,-6.4,2.6,-0.1
57,Lavoy Allen,5,0,0,0,0,0,0,0,0,0,388,4.8,4.8,1.0,0.6,0.3,0.0,1847,1843.0,384,214,120,2,47.1,68.2,13.3,47.2,105,107,1.3,-1.2,12.5,13.8
